id,character_id,skill_id
1,201000,120000
2,201001,120000
3,201001,120001
4,201002,120000
5,201002,120003
6,201003,120000
7,201003,120003
8,201003,300000
9,201003,210004
10,201004,120000
11,201004,300000
12,201004,210002
13,201005,120000
14,201005,120003
15,201005,120005
16,201005,220002
17,201005,250002
18,201006,120000
19,201006,120001
20,201006,120003
21,201007,120000
22,201007,120003
23,201007,210004
24,201008,120000
25,201008,120001
26,201008,210002
27,202000,130000
28,202001,100000
29,202001,130001
30,202002,100000
31,202002,130003
32,202003,130000
33,202003,130001
34,202003,210004
35,202004,130000
36,202004,220002
37,202004,250002
38,202005,130000
39,202005,300000
40,202005,220002
41,202005,210002
42,202005,210004
43,202006,130000
44,202006,130001
45,202006,130003
46,202006,130005
47,202006,230004
48,202006,210004
49,202007,130000
50,202007,130001
51,202007,130005
52,202007,210004
53,202007,230004
54,202007,250004
55,203000,110000
56,203000,220004
57,203001,100000
58,203001,110001
59,203002,110000
60,203002,110001
61,203002,300000
62,203002,210002
63,203003,110000
64,203003,220004
65,203003,110003
66,203004,100001
67,203004,110001
68,203004,220004
69,203005,110000
70,203005,110001
71,203005,110003
72,203005,220004
73,203005,210004
74,203006,100001
75,203006,110001
76,203006,110003
77,203006,110005
78,203006,220002
79,203006,210002
80,203007,110001
81,203007,110003
82,203007,110005
83,203007,210004
84,203007,240002
85,204000,100001
86,204010,100001
87,204020,100001
88,204001,130000
89,204001,130001
90,204011,130000
91,204011,130001
92,204021,130000
93,204021,130000
94,204021,130001
95,204021,130005
96,204002,110000
97,204002,110001
98,204012,110000
99,204012,110001
100,204022,110000
101,204022,110000
102,204022,110001
103,204022,110005
104,204003,140000
105,204003,140001
106,204013,140000
107,204013,140001
108,204023,140000
109,204023,140000
110,204023,140001
111,204023,140005
112,204004,120000
113,204004,120001
114,204014,120000
115,204014,120001
116,204024,120000
117,204024,120000
118,204024,120001
119,204024,120005
120,205000,140000
121,205000,140001
122,205000,140003
123,205001,140000
124,205001,140001
125,205002,140000
126,205002,140001
127,205002,240002
128,205003,140000
129,205003,140001
130,205003,250004
131,205004,140000
132,205004,140002
133,205004,240004
134,205005,140000
135,205005,240004
136,205006,140000
137,205006,140001
138,205006,140005
139,205006,240004
140,205006,240002
141,205007,140000
142,205007,140001
143,205007,140005
144,205007,240004
145,205007,240002
146,205007,210004
147,206000,110000
148,206000,110003
149,206000,220004
150,206001,110001
151,206001,110000
152,206001,110001
153,206002,300000
154,206002,110000
155,206002,220004
156,206002,110003
157,206003,110000
158,206003,110003
159,206003,210004
160,206003,110001
161,206004,210002
162,206004,220002
163,206004,250002
164,206004,110005
165,206005,250004
166,206005,110001
167,206005,110003
168,206005,210004
169,206005,110000
170,206006,110000
171,206006,110001
172,206006,220004
173,206006,210002
174,206006,250004
175,206007,110001
176,206007,110003
177,206007,110005
178,206007,210004
179,206007,230004
180,206007,250004
181,207000,130000
182,207000,130003
183,207001,130001
184,207001,250004
185,207002,130001
186,207002,130003
187,207002,210004
188,207003,300000
189,207003,210002
190,207003,130001
191,207003,130000
192,207004,220002
193,207004,220004
194,207004,130001
195,207004,130003
196,207005,220002
197,207005,210004
198,207005,130005
199,207005,130003
200,207005,130000
201,207006,130005
202,207006,130001
203,207006,220004
204,207006,240002
205,207006,250002
206,207007,240002
207,207007,210002
208,207007,250004
209,207007,130001
210,207007,130003
211,207007,130005
