id,cls,resource_id,name,elemental,grade,set_id,ability1,value1,ability2,value2,skill_id,skill_chance,attack_range,description
10110000,Weapon,10110000,검,0,1,1,damage,5,,,1,0.1,2,기본 검.
10111000,Weapon,10111000,검(불),1,1,1,damage,5,,,1,0.1,2,기본 검.
10112000,Weapon,10112000,검(물),2,1,1,damage,5,,,1,0.1,2,기본 검.
10113000,Weapon,10113000,검(땅),3,1,1,damage,5,,,1,0.1,2,기본 검.
10114000,Weapon,10114000,검(바람),4,1,1,damage,5,,,1,0.1,2,기본 검.
10120000,Weapon,10120000,마력 검,0,2,2,damage,10,,,2,0.1,2,마법의 정수가 담긴 검.
10121000,Weapon,10121000,마력 검(불),1,2,2,damage,10,,,2,0.1,2,마법의 정수가 담긴 검.
10122000,Weapon,10122000,마력 검(물),2,2,2,damage,10,,,2,0.1,2,마법의 정수가 담긴 검.
10123000,Weapon,10123000,마력 검(땅),3,2,2,damage,10,,,2,0.1,2,마법의 정수가 담긴 검.
10124000,Weapon,10124000,마력 검(바람),4,2,2,damage,10,,,2,0.1,2,마법의 정수가 담긴 검.
10130000,Weapon,10130000,어둠 검,0,3,3,damage,20,,,3,0.3,2,어둠의 정수가 담긴 검.
10131000,Weapon,10131000,어둠 검(불),1,3,3,damage,20,,,3,0.3,2,어둠의 정수가 담긴 검.
10132000,Weapon,10132000,어둠 검(물),2,3,3,damage,20,,,3,0.3,2,어둠의 정수가 담긴 검.
10133000,Weapon,10133000,어둠 검(땅),3,3,3,damage,20,,,3,0.3,2,어둠의 정수가 담긴 검.
10134000,Weapon,10134000,어둠 검(바람),4,3,3,damage,20,,,3,0.3,2,어둠의 정수가 담긴 검.
10210000,Armor,10210000,옷,0,1,1,defense,5,,,1,0.1,2,몸을 겨우 가리는 허름한 옷과 장비를 주웠다. 아쉬운대로 이거라도 입고 다니자.
10211000,Armor,10211000,옷(불),1,1,1,defense,5,,,1,0.1,2,몸을 겨우 가리는 허름한 옷과 장비를 주웠다. 아쉬운대로 이거라도 입고 다니자.
10212000,Armor,10212000,옷(물),2,1,1,defense,5,,,1,0.1,2,몸을 겨우 가리는 허름한 옷과 장비를 주웠다. 아쉬운대로 이거라도 입고 다니자.
10213000,Armor,10213000,옷(땅),3,1,1,defense,5,,,1,0.1,2,몸을 겨우 가리는 허름한 옷과 장비를 주웠다. 아쉬운대로 이거라도 입고 다니자.
10214000,Armor,10214000,옷(바람),4,1,1,defense,5,,,1,0.1,2,몸을 겨우 가리는 허름한 옷과 장비를 주웠다. 아쉬운대로 이거라도 입고 다니자.
10220000,Armor,10220000,마력 전투복,0,2,2,defense,10,,,2,0.1,2,마법의 정수로 제련하여 탄생한 전투복. 활동성이 좋아 숲을 헤치고 다니기 좋다.
10221000,Armor,10221000,마력 전투복(불),1,2,2,defense,10,,,2,0.1,2,마법의 정수로 제련하여 탄생한 전투복. 활동성이 좋아 숲을 헤치고 다니기 좋다.
10222000,Armor,10222000,마력 전투복(물),2,2,2,defense,10,,,2,0.1,2,마법의 정수로 제련하여 탄생한 전투복. 활동성이 좋아 숲을 헤치고 다니기 좋다.
10223000,Armor,10223000,마력 전투복(땅),3,2,2,defense,10,,,2,0.1,2,마법의 정수로 제련하여 탄생한 전투복. 활동성이 좋아 숲을 헤치고 다니기 좋다.
10224000,Armor,10224000,마력 전투복(바람),4,2,2,defense,10,,,2,0.1,2,마법의 정수로 제련하여 탄생한 전투복. 활동성이 좋아 숲을 헤치고 다니기 좋다.
10230000,Armor,10230000,어둠 의상,0,3,3,defense,30,,,2,0.4,2,어둠의 정수로 제련한 검사의 의상. 어둠의 요정인 도크알바가 이 의상을 제작했다고 전해진다.
10231000,Armor,10231000,어둠 의상(불),1,3,3,defense,30,,,2,0.4,2,어둠의 정수로 제련한 검사의 의상. 어둠의 요정인 도크알바가 이 의상을 제작했다고 전해진다.
10232000,Armor,10232000,어둠 의상(물),2,3,3,defense,30,,,2,0.4,2,어둠의 정수로 제련한 검사의 의상. 어둠의 요정인 도크알바가 이 의상을 제작했다고 전해진다.
10233000,Armor,10233000,어둠 의상(땅),3,3,3,defense,30,,,2,0.4,2,어둠의 정수로 제련한 검사의 의상. 어둠의 요정인 도크알바가 이 의상을 제작했다고 전해진다.
10234000,Armor,10234000,어둠 의상(바람),4,3,3,defense,30,,,2,0.4,2,어둠의 정수로 제련한 검사의 의상. 어둠의 요정인 도크알바가 이 의상을 제작했다고 전해진다.
10310000,Belt,10310000,장식띠,0,1,1,health,15,,,3,0.01,2,기본 장비와 함께 착용할 수 있는 허리띠. 심플한 멋이 있다.
10311000,Belt,10311000,장식띠(불),1,1,1,health,15,,,3,0.01,2,기본 장비와 함께 착용할 수 있는 허리띠. 심플한 멋이 있다.
10312000,Belt,10312000,장식띠(물),2,1,1,health,15,,,3,0.01,2,기본 장비와 함께 착용할 수 있는 허리띠. 심플한 멋이 있다.
10313000,Belt,10313000,장식띠(땅),3,1,1,health,15,,,3,0.01,2,기본 장비와 함께 착용할 수 있는 허리띠. 심플한 멋이 있다.
10314000,Belt,10314000,장식띠(바람),4,1,1,health,15,,,3,0.01,2,기본 장비와 함께 착용할 수 있는 허리띠. 심플한 멋이 있다.
10320000,Belt,10320000,마력의 죔쇠,0,2,2,health,30,,,3,0.02,2,마력 세트와 함께 착용할 수 있는 허리띠. 세트로 장착하면 능력치가 상승한다.
10321000,Belt,10321000,마력의 죔쇠(불),1,2,2,health,30,,,3,0.02,2,마력 세트와 함께 착용할 수 있는 허리띠. 세트로 장착하면 능력치가 상승한다.
10322000,Belt,10322000,마력의 죔쇠(물),2,2,2,health,30,,,3,0.02,2,마력 세트와 함께 착용할 수 있는 허리띠. 세트로 장착하면 능력치가 상승한다.
10323000,Belt,10323000,마력의 죔쇠(땅),3,2,2,health,30,,,3,0.02,2,마력 세트와 함께 착용할 수 있는 허리띠. 세트로 장착하면 능력치가 상승한다.
10324000,Belt,10324000,마력의 죔쇠(바람),4,2,2,health,30,,,3,0.02,2,마력 세트와 함께 착용할 수 있는 허리띠. 세트로 장착하면 능력치가 상승한다.
10330000,Belt,10330000,어둠의 요대,0,3,3,health,45,,,3,0.03,2,어둠의 세트와 함께 착용할 수 있는 허리띠. 세트로 장착하면 능력치가 상승한다.
10331000,Belt,10331000,어둠의 요대(불),1,3,3,health,45,,,3,0.03,2,어둠의 세트와 함께 착용할 수 있는 허리띠. 세트로 장착하면 능력치가 상승한다.
10332000,Belt,10332000,어둠의 요대(물),2,3,3,health,45,,,3,0.03,2,어둠의 세트와 함께 착용할 수 있는 허리띠. 세트로 장착하면 능력치가 상승한다.
10333000,Belt,10333000,어둠의 요대(땅),3,3,3,health,45,,,3,0.03,2,어둠의 세트와 함께 착용할 수 있는 허리띠. 세트로 장착하면 능력치가 상승한다.
10334000,Belt,10334000,어둠의 요대(바람),4,3,3,health,45,,,3,0.03,2,어둠의 세트와 함께 착용할 수 있는 허리띠. 세트로 장착하면 능력치가 상승한다.
103000,Shoes,103000,신발,0,1,,,,,,,,,
103001,Shoes,103001,신발,0,2,,,,,,,,,
103002,Shoes,103002,신발,0,3,,,,,,,,,
104000,Necklace,104000,목걸이,0,1,,,,,,,,,
104001,Necklace,104001,목걸이,0,2,,,,,,,,,
104002,Necklace,104002,목걸이,0,3,,,,,,,,,
105000,Food,105000,보석,0,1,,,,,,,,,
105001,Food,105001,보석,0,2,,,,,,,,,
105002,Food,105002,보석,0,3,,,,,,,,,
201000,Food,201000,참치캔,0,1,,health,5,,,,,,고양이의 영원한 친구. 체력을 조금 보충하는 효과가 있다.
201001,Food,201001,대충 만든 오므라이스,0,1,,health,10,,,,,,달걀과 밥을 대충 섞어 만든 오므라이스. 대충 만들어서 효과는 그저 그렇다.
201002,Food,201001,공들인 오므라이스,0,1,,health,20,,,,,,달걀과 밥 그리고 재료의 조화가 훌륭하다. 대충 만든 요리보다 2배로 효과가 있다.
201003,Food,201002,그저 그런 비프라이스,0,1,,health,30,,,,,,쌀과 고기를 대충 볶아냈다. 더 맛있게 만들 수 있는 방법이 있을 것 같다.
201004,Food,201002,윤기 나는 비프라이스,0,1,,health,50,,,,,,고기는 밥과 같이 먹어야 더 많이 먹을 수 있다. 맛있게 만들어져서 효과도 좋다.
201005,Food,201003,모둠스테이크,0,1,,health,75,,,,,,고기를 최소한의 재료로 구워낸 스테이크. 체력 회복 효과가 크다.
201006,Food,201003,훌륭한 모둠스테이크,0,1,,health,100,,,,,,좋은 고기와 향신료가 곁들여진 최고의 스테이크. 이보다 더 좋은 음식은 없을듯!
202000,Food,202000,계란후라이,0,1,,damage,20,,,,,,올리브유에 달걀을 지글지글 구워냈다. 먹고 나면 기분이 좋아져 한 스테이지동안 공격력이 20 향상된다.
202001,Food,202001,캣닢티,0,1,,luck,10,,,,,,고양이가 좋아하는 향긋하고 은은한 허브티. 크리티컬 확률이 10 증가되는 효과가 있다.
