id,stage,wave,monster1_id,monster1_level,monster1_visual,monster1_count,monster2_id,monster2_level,monster2_visual,monster2_count,monster3_id,monster3_level,monster3_visual,monster3_count,monster4_id,monster4_level,monster4_visual,monster4_count,is_boss,reward,exp
1,1,1,204000,1,,1,,,,,,,,,,,,,0,0,0
2,1,2,204000,1,,1,,,,,,,,,,,,,0,0,0
3,1,3,204000,1,,1,,,,,,,,,,,,,0,1,57
4,2,1,204000,2,,1,,,,,,,,,,,,,0,0,0
5,2,2,204000,2,,1,,,,,,,,,,,,,0,0,0
6,2,3,204000,2,,1,,,,,,,,,,,,,0,0,0
7,2,4,204000,2,,2,,,,,,,,,,,,,0,2,64
8,3,1,204000,3,,1,,,,,,,,,,,,,0,0,0
9,3,2,204000,3,,1,,,,,,,,,,,,,0,0,0
10,3,3,204000,3,,2,,,,,,,,,,,,,0,3,71
11,4,1,204000,4,,1,,,,,,,,,,,,,0,0,0
12,4,2,201000,4,,2,,,,,,,,,,,,,0,0,0
13,4,3,201000,4,,1,,,,,,,,,,,,,0,4,78
14,5,1,204000,5,,1,,,,,,,,,,,,,0,0,0
15,5,2,204000,5,,2,,,,,,,,,,,,,0,0,0
16,5,3,204000,5,,3,,,,,,,,,,,,,0,0,0
17,5,4,201000,5,,3,204000,5,,1,,,,,,,,,0,0,0
18,5,5,201000,6,,2,201002,6,,1,204000,6,,1,,,,,1,5,85
19,6,1,204000,6,,1,,,,,,,,,,,,,0,0,0
20,6,2,201000,6,,1,,,,,,,,,,,,,0,0,0
21,6,3,201000,6,,2,,,,,,,,,,,,,0,0,0
22,6,4,201000,6,,2,204000,6,,1,,,,,,,,,0,6,92
23,7,1,204001,7,,1,,,,,,,,,,,,,0,0,0
24,7,2,204000,7,,2,,,,,,,,,,,,,0,0,0
25,7,3,201000,7,,2,204000,7,,1,,,,,,,,,0,0,0
26,7,4,201000,7,,1,,,,,,,,,,,,,0,0,0
27,7,5,204000,7,,1,,,,,,,,,,,,,0,7,99
28,8,1,201000,8,,1,,,,,,,,,,,,,0,0,0
29,8,2,201000,8,,1,204000,8,,1,,,,,,,,,0,0,0
30,8,3,201000,8,,1,204000,8,,1,,,,,,,,,0,0,0
31,8,4,201000,8,,2,204000,8,,1,204001,8,,1,,,,,0,8,106
32,9,1,204000,9,,1,,,,,,,,,,,,,0,0,0
33,9,2,204000,9,,2,,,,,,,,,,,,,0,0,0
34,9,3,201000,9,,2,204000,9,,1,,,,,,,,,0,0,0
35,9,4,204001,9,,1,,,,,,,,,,,,,0,0,0
36,9,5,201000,9,,1,204000,9,,2,204001,9,,2,,,,,0,9,113
37,10,1,204000,10,,1,,,,,,,,,,,,,0,0,0
38,10,2,201000,10,,1,204001,10,,1,,,,,,,,,0,0,0
39,10,3,201000,10,,2,204001,10,,1,,,,,,,,,0,0,0
40,10,4,201000,11,,2,201003,11,,1,204000,11,,1,,,,,1,10,120
41,11,1,201001,11,,1,,,,,,,,,,,,,0,0,0
42,11,2,201000,11,,1,,,,,,,,,,,,,0,0,0
43,11,3,201001,11,,1,204000,11,,1,204001,11,,1,,,,,0,0,0
44,11,4,201001,11,,1,,,,,,,,,,,,,0,11,127
45,12,1,201001,12,,1,,,,,,,,,,,,,0,0,0
46,12,2,201000,12,,1,204000,12,,1,,,,,,,,,0,0,0
47,12,3,201000,12,,1,204000,12,,2,,,,,,,,,0,0,0
