id,cls,name,elemental,stat,min_stat,max_stat,skill_id,min_damage,max_damage,min_chance,max_chance,grade,description
100000,Material,보물상자,0,,,,,,,,,1,보물상자
301000,Material,생명,0,,,,,,,,,1,플레이어가 미드가르드로 되돌아가기 위해 찾아야 하는 것. 9개가 있으면 미드가르드로 되돌아갈 수 있다.
302000,Material,쌀,0,,,,,,,,,1,생으로 먹으니 너무 딱딱하다. 어떻게든 요리해 먹어야 할 것 같다.
302001,Material,생선,0,,,,,,,,,1,몬스터가 떨어뜨린 생선. 좀 더 맛있게 먹을 수 있는 방법은 없을까.
302002,Material,깡통,0,,,,,,,,,1,던전에서 주은 깡통. ‘동원’ 이라는 글자가 써져있다. 무슨 뜻일까.
302003,Material,달걀,0,,,,,,,,,1,생으로 먹기에는 너무 비리다. 어떻게든 요리해 먹어야 할 것 같다.
302004,Material,암염,0,,,,,,,,,1,그냥 먹으면 너무 짜서 큰일난다. 뭔가와 함께 조리하는 데 써야 할 것 같다.
302005,Material,올리브유,0,,,,,,,,,1,그냥 마시면 느끼해서 견딜 수 없다. 뭔가와 함께 조리하는 데 써야 할 것 같다.
302006,Material,허브,0,,,,,,,,,1,향긋한 향이 좋은 풀잎. 고기 잡내를 제거하는 데에는 그만이다.
302007,Material,비린내 나는 고기,0,,,,,,,,,1,적과 싸워 얻은 무언가의 고기. 별로 품질이 좋아보이지는 않는다.
302008,Material,맛있어 보이는 고기,0,,,,,,,,,1,적과 싸워 얻은 무언가의 고기. 적당히 요리해 먹으면 맛있을 것 같다.
302009,Material,일품급 고기,0,,,,,,,,,1,적과 싸워 얻은 무언가의 고기. 밥과 같이 요리하기보다는 좀 더 좋은 요리를 만들 수 있을 것 같다.
303000,Material,녹슨 칼,0,,,,,,,,,1,장비 제작에 사용되는 재료. 녹이 많이 슬어 있어 그냥은 착용할 수 없다.
303001,Material,버려진 검,0,,,,,,,,,2,장비 제작에 사용되는 재료. 조금 낡았지만 괜찮은 무기를 만들 수 있을 것 같다.
303002,Material,영험한 기운의 검,0,,,,,,,,,3,장비 제작에 사용되는 재료. 영험한 기운이 서려있는 느낌이다. 잠재된 힘을 깨워보고 싶다.
303100,Material,녹슨 갑옷,0,,,,,,,,,1,제작에 사용되는 재료. 너무 많이 낡아 그냥은 착용할 수 없다.
303101,Material,버려진 갑주,0,,,,,,,,,2,장비 제작에 사용되는 재료. 조금 낡았지만 괜찮은 방어구를 만들 수 있을 것 같다.
303102,Material,영험한 기운의 갑옷,0,,,,,,,,,3,장비 제작에 사용되는 재료. 영험한 기운이 서려있는 느낌이다. 잠재된 힘을 깨워보고 싶다.
303200,Material,낡은 끈,0,,,,,,,,,1,제작에 사용되는 재료. 너무 많이 낡아 그냥은 착용할 수 없다.
303201,Material,버려진 허리띠,0,,,,,,,,,2,장비 제작에 사용되는 재료. 조금 낡았지만 괜찮은 방어구를 만들 수 있을 것 같다.
303202,Material,영험한 기운의 벨트,0,,,,,,,,,3,장비 제작에 사용되는 재료. 영험한 기운이 서려있는 느낌이다. 잠재된 힘을 깨워보고 싶다.
303300,Material,낡은 목걸이,0,,,,,,,,,1,제작에 사용되는 재료. 너무 많이 낡아 그냥은 착용할 수 없다.
303301,Material,버려진 목걸이,0,,,,,,,,,2,장비 제작에 사용되는 재료. 조금 낡았지만 괜찮은 장신구를 만들 수 있을 것 같다.
303302,Material,영험한 기운의 목걸이,0,,,,,,,,,3,장비 제작에 사용되는 재료. 영험한 기운이 서려있는 느낌이다. 잠재된 힘을 깨워보고 싶다.
303400,Material,낡은 반지,0,,,,,,,,,1,제작에 사용되는 재료. 너무 많이 낡아 그냥은 착용할 수 없다.
303401,Material,버려진 반지,0,,,,,,,,,2,장비 제작에 사용되는 재료. 조금 낡았지만 괜찮은 장신구를 만들 수 있을 것 같다.
303402,Material,영험한 기운의 반지,0,,,,,,,,,3,장비 제작에 사용되는 재료. 영험한 기운이 서려있는 느낌이다. 잠재된 힘을 깨워보고 싶다.
304000,Material,불의 정수,1,,,,,,,,,1,숲 속 몬스터의 마력이 응축된 정수. 못 쓰는 무기와 함께 제련하면 무기의 잠든 힘을 깨울 수 있다.
304002,Material,물의 정수,2,,,,,,,,,1,숲 속 몬스터의 마력이 응축된 정수. 못 쓰는 무기와 함께 제련하면 무기의 잠든 힘을 깨울 수 있다.
304001,Material,대지의 정수,3,,,,,,,,,1,숲 속 몬스터의 마력이 응축된 정수. 못 쓰는 무기와 함께 제련하면 무기의 잠든 힘을 깨울 수 있다.
304003,Material,바람의 정수,4,,,,,,,,,1,숲 속 몬스터의 마력이 응축된 정수. 못 쓰는 무기와 함께 제련하면 무기의 잠든 힘을 깨울 수 있다.
305000,Material,얼음의 염료,2,,,,,,,,,1,마력으로 빙하의 빛깔을 뽑아내어 만든 푸른 빛의 염료. 이 신비한 염료는 옷이 아니라 몸을 물들게 한다.
305001,Material,불의 염료,1,,,,,,,,,1,무스펠헤임의 뜨거운 용암으로 만든 붉은 빛의 염료. 만지면 용암의 기운이 남아 있어 따뜻하다. 이 신비한 염료는 옷이 아니라 몸을 물들게 한다.
305002,Material,숲의 염료,0,,,,,,,,,1,숲 속의 요정들이 나무의 정기로 만든 녹색 빛의 염료. 이 신비한 염료는 옷이 아니라 몸을 물들게 한다.
305003,Material,요정의 염료,0,,,,,,,,,1,노란색 염료
305004,Material,여신의 염료,0,,,,,,,,,1,잿빛 염료
306000,Material,물의 씨앗 껍질,2,damage,5,10,4,5,20,0.05,0.15,1,물의 씨앗 껍질
306001,Material,물의 수상한 떡잎,2,damage,10,20,,10,30,0.05,0.15,1,물의 수상한 떡잎
306002,Material,물의 잎사귀 다발,2,defense,10,20,,10,30,0.05,0.15,1,물의 잎사귀 다발
306003,Material,물의 빛나는 꽃봉오리,2,damage,25,50,1,25,50,0.05,0.15,1,물의 빛나는 꽃봉오리
306004,Material,물의 뻣뻣한 줄기,2,damage,10,20,,10,50,0.05,0.15,1,물의 뻣뻣한 줄기
306005,Material,물의 물컹한 열매,2,damage,10,30,3,10,50,0.05,0.15,1,물의 물컹한 열매
306006,Material,물의 시든 꽃다발,2,damage,10,30,,10,75,0.05,0.15,1,물의 시든 꽃다발
306007,Material,물의 열매알,2,damage,25,50,2,25,100,0.05,0.15,1,물의 열매알
306008,Material,물의 나무줄기,2,defense,25,50,,25,100,0.05,0.15,1,물의 나무줄기
306009,Material,대지의 하찮은 자갈,3,damage,5,10,4,5,20,0.05,0.15,1,대지의 하찮은 자갈
306010,Material,대지의 돌날,3,damage,10,15,4,10,30,0.05,0.15,1,대지의 돌날
306011,Material,대지의 두건,3,damage,15,30,,15,50,0.05,0.15,1,대지의 두건
306012,Material,대지의 여우 꼬리,3,damage,15,30,,15,50,0.05,0.15,1,대지의 여우 꼬리
306013,Material,대지의 칼자루,3,defense,15,30,,15,100,0.05,0.15,1,대지의 칼자루
306014,Material,대지의 큰 칼날,3,damage,15,30,2,15,100,0.05,0.15,1,대지의 큰 칼날
306015,Material,대지의 부러진 지팡이,3,damage,15,30,,15,25,0.05,0.15,1,대지의 부러진 지팡이
306016,Material,대지의 부러진 지팡이,3,damage,15,30,3,15,25,0.05,0.15,1,대지의 부러진 지팡이
306017,Material,대지의 망토 조각,3,defense,10,20,,10,150,0.05,0.15,1,대지의 망토 조각
306018,Material,대지의 마력 구슬,3,damage,25,50,1,25,150,0.05,0.15,1,대지의 마력 구슬
306019,Material,대지의 여우 가죽,3,defense,25,50,,25,175,0.05,0.15,1,대지의 여우 가죽
306020,Material,대지의 여우 송곳니,3,damage,15,30,,15,175,0.05,0.15,1,대지의 여우 송곳니
306021,Material,대지의 창 날,3,damage,25,50,2,25,200,0.05,0.15,1,대지의 창 날
306022,Material,대지의 견장,3,defense,25,50,,25,200,0.05,0.15,1,대지의 견장
306023,Material,화염의 나무둔기,1,damage,15,20,1,15,20,0.05,0.15,1,화염의 나무둔기
306024,Material,화염의 작은 투구,1,defense,10,20,,10,20,0.05,0.15,1,화염의 작은 투구
306025,Material,화염의 멧돼지뿔,1,damage,20,40,4,20,40,0.05,0.15,1,화염의 멧돼지뿔
306026,Material,화염의 허리가방,1,damage,25,40,,25,40,0.05,0.15,1,화염의 허리가방
306027,Material,화염의 둔기 조각,1,damage,25,50,4,25,50,0.05,0.15,1,화염의 둔기 조각
306028,Material,화염의 하얀 털다발,1,damage,15,50,3,15,50,0.05,0.15,1,화염의 하얀 털다발
306029,Material,화염의 큰 멧돼지뿔,1,defense,25,50,,25,50,0.05,0.15,1,화염의 큰 멧돼지뿔
306030,Material,화염의 무거운 견장,1,damage,25,100,,25,100,0.05,0.15,1,화염의 무거운 견장
306031,Material,화염의 달궈진 쇠사슬,1,defense,10,20,,10,20,0.05,0.15,1,화염의 달궈진 쇠사슬
306032,Material,화염의 부러진 지팡이,1,damage,25,50,2,25,50,0.05,0.15,1,화염의 부러진 지팡이
306033,Material,화염의 제림니르 도끼,1,damage,15,40,,15,40,0.05,0.15,1,화염의 제림니르 도끼
306034,Material,화염의 제림니르 철퇴,1,damage,15,40,,15,40,0.05,0.15,1,화염의 제림니르 철퇴
306035,Material,수액 덩어리,0,damage,3,10,,3,10,0.05,0.15,1,수액 덩어리
306036,Material,화염의 수액 덩어리,1,damage,3,10,,3,10,0.05,0.15,1,화염의 수액 덩어리
306037,Material,바람의 수액 덩어리,4,defense,3,10,,3,10,0.05,0.15,1,바람의 수액 덩어리
306038,Material,대지의 수액 덩어리,3,damage,3,10,,3,10,0.05,0.15,1,대지의 수액 덩어리
306039,Material,물의 수액 덩어리,2,defense,3,10,,3,10,0.05,0.15,1,물의 수액 덩어리
