id,exp,attack,defense,health,mana,critical
1,27,6,3,30,10,0.1
2,31,7,4,40,20,0.1
3,35,8,5,50,30,0.11
4,39,9,6,60,40,0.11
5,63,10,7,70,50,0.12
6,81,11,8,100,60,0.12
7,172,12,9,115,70,0.13
8,261,13,10,130,80,0.13
9,344,14,11,145,90,0.14
10,516,15,12,160,100,0.14
11,774,16,13,200,110,0.15
12,1161,17,14,220,120,0.15
13,1742,18,15,240,130,0.16
14,2613,19,16,260,140,0.16
15,3484,20,17,280,150,0.17
16,4791,21,18,320,16,0.17
17,6533,22,19,345,17,0.18
18,8928,23,20,370,18,0.18
19,12194,24,21,395,19,0.19
20,16658,25,22,420,20,0.19
21,22755,26,23,470,21,0.2
22,31084,27,24,500,22,0.2
23,42461,28,25,530,23,0.1
24,58003,29,26,560,24,0.1
25,79234,30,27,590,25,0.1
26,108235,31,28,670,26,0.1
27,147852,32,29,705,27,0.1
28,201970,33,30,740,28,0.1
29,275896,34,31,775,29,0.1
30,376881,35,32,810,30,0.1
31,514829,36,33,880,31,0.1
32,703270,37,34,920,32,0.1
33,960684,38,35,960,33,0.1
34,1312319,39,36,1000,34,0.1
35,1792661,40,37,1040,35,0.1
36,2448820,41,38,1150,36,0.1
37,3345151,42,39,1200,37,0.1
38,4569561,43,40,1250,38,0.1
39,6242136,44,41,1300,39,0.1
40,8526917,45,42,1350,40,0.1
41,11647985,46,43,1450,41,0.1
42,15911443,47,44,1520,42,0.1
43,21735436,48,45,1590,43,0.1
44,29691158,49,46,1660,44,0.1
45,40558875,50,47,1730,45,0.1
46,55404454,51,48,1880,46,0.1
47,75683892,52,49,1980,47,0.1
48,103386119,53,50,2080,48,0.1
49,141228065,54,51,2180,49,0.1
50,192921125,55,52,2280,50,0.1
