id,item1,item1_ratio,item1_min,item1_max,item2,item2_ratio,item2_min,item2_max,item3,item3_ratio,item3_min,item3_max,item4,item4_ratio,item4_min,item4_max,item5,item5_ratio,item5_min,item5_max
1,306035,1,1,2,,,,,,,,,,,,,,,,
2,306035,1,1,2,,,,,,,,,,,,,,,,
3,306035,1,1,2,,,,,,,,,,,,,,,,
4,306036,1,1,2,306035,1,1,2,,,,,,,,,,,,
5,303000,1,1,2,306002,1,1,2,306035,1,1,2,306036,1,1,2,,,,
6,306036,1,1,2,306035,1,1,2,,,,,,,,,,,,
7,306037,1,1,2,306036,1,1,2,,,,,,,,,,,,
8,306036,1,1,2,306037,1,1,2,306035,1,1,2,,,,,,,,
9,306036,1,1,2,306037,1,1,2,306035,1,1,2,,,,,,,,
10,303100,1,1,2,306003,1,1,2,306038,1,1,2,306037,1,1,2,306035,1,1,2
11,306037,1,1,2,306035,1,1,2,306038,1,1,2,,,,,,,,
12,306036,1,1,2,306038,1,1,2,306037,1,1,2,306035,1,1,2,,,,
13,306037,1,1,2,306038,1,1,2,306039,1,1,2,306035,1,1,2,306036,1,1,2
14,306039,1,1,2,306037,1,1,2,306036,1,1,2,306035,1,1,2,306038,1,1,2
15,303200,1,1,2,306005,1,1,2,306038,1,1,2,306039,1,1,2,306035,1,1,2
16,306037,1,1,2,306035,1,1,2,306039,1,1,2,,,,,,,,
17,306037,1,1,2,306038,1,1,2,306035,1,1,2,306000,1,1,2,306039,1,1,2
18,306036,1,1,2,306038,1,1,2,306000,1,1,2,306037,1,1,2,306035,1,1,2
19,306000,1,1,2,306037,1,1,2,306039,1,1,2,306036,1,1,2,306038,1,1,2
20,303001,1,1,2,306006,1,1,2,306001,1,1,2,306037,1,1,2,306035,1,1,2
21,306039,1,1,2,306037,1,1,2,306000,1,1,2,306035,1,1,2,,,,
22,306037,1,1,2,306038,1,1,2,306035,1,1,2,306036,1,1,2,306000,1,1,2
23,306001,1,1,2,306000,1,1,2,306037,1,1,2,,,,,,,,
24,306035,1,1,2,306000,1,1,2,306036,1,1,2,306001,1,1,2,306039,1,1,2
25,303101,1,1,2,306002,1,1,2,306001,1,1,2,306000,1,1,2,306035,1,1,2
26,306035,1,1,2,306002,1,1,2,,,,,,,,,,,,
27,306005,1,1,2,306039,1,1,2,306037,1,1,2,306036,1,1,2,306002,1,1,2
28,306035,1,1,2,306001,1,1,2,306038,1,1,2,,,,,,,,
29,306036,1,1,2,306009,1,1,2,306000,1,1,2,,,,,,,,
30,303201,1,1,2,306012,1,1,2,306009,1,1,2,306001,1,1,2,306036,1,1,2
31,306000,1,1,2,306037,1,1,2,306002,1,1,2,306001,1,1,2,,,,
32,306035,1,1,2,306039,1,1,2,306010,1,1,2,306038,1,1,2,306037,1,1,2
33,306001,1,1,2,306005,1,1,2,306000,1,1,2,,,,,,,,
34,306039,1,1,2,306036,1,1,2,306002,1,1,2,306005,1,1,2,306009,1,1,2
35,303002,1,1,2,306015,1,1,2,306001,1,1,2,306002,1,1,2,306038,1,1,2
36,306002,1,1,2,306011,1,1,2,306010,1,1,2,,,,,,,,
37,306035,1,1,2,306005,1,1,2,306000,1,1,2,306038,1,1,2,306036,1,1,2
38,306037,1,1,2,306011,1,1,2,306010,1,1,2,306039,1,1,2,,,,
39,306035,1,1,2,306002,1,1,2,306011,1,1,2,306012,1,1,2,306000,1,1,2
40,303102,1,1,2,306019,1,1,2,306010,1,1,2,306001,1,1,2,306011,1,1,2
41,306001,1,1,2,306038,1,1,2,306005,1,1,2,,,,,,,,
42,306012,1,1,2,306001,1,1,2,306038,1,1,2,306002,1,1,2,306039,1,1,2
43,306011,1,1,2,306005,1,1,2,306015,1,1,2,306037,1,1,2,306010,1,1,2
44,306000,1,1,2,306036,1,1,2,,,,,,,,,,,,
45,303202,1,1,2,306018,1,1,2,306009,1,1,2,306002,1,1,2,306012,1,1,2
46,306039,1,1,2,306001,1,1,2,306012,1,1,2,306010,1,1,2,306009,1,1,2
47,306000,1,1,2,306011,1,1,2,306001,1,1,2,306019,1,1,2,306005,1,1,2
48,306001,1,1,2,306036,1,1,2,306002,1,1,2,306005,1,1,2,306010,1,1,2
49,306019,1,1,2,306018,1,1,2,306002,1,1,2,306000,1,1,2,,,,
50,306020,1,1,2,306018,1,1,2,306010,1,1,2,306037,1,1,2,306009,1,1,2
51,306035,1,1,2,,,,,,,,,,,,,,,,
52,306035,1,1,2,,,,,,,,,,,,,,,,
53,306035,1,1,2,,,,,,,,,,,,,,,,
54,306035,1,1,2,,,,,,,,,,,,,,,,
55,306033,1,1,2,306035,1,1,2,306036,1,1,2,,,,,,,,
56,306035,1,1,2,306036,1,1,2,,,,,,,,,,,,
57,306036,1,1,2,306035,1,1,2,,,,,,,,,,,,
58,306035,1,1,2,306036,1,1,2,,,,,,,,,,,,
59,306037,1,1,2,306036,1,1,2,306035,1,1,2,,,,,,,,
60,306033,1,1,2,306036,1,1,2,306035,1,1,2,306037,1,1,2,,,,
61,306036,1,1,2,306037,1,1,2,,,,,,,,,,,,
62,306036,1,1,2,306037,1,1,2,306035,1,1,2,,,,,,,,
63,306035,1,1,2,306036,1,1,2,306037,1,1,2,,,,,,,,
64,306036,1,1,2,306038,1,1,2,306035,1,1,2,,,,,,,,
65,306038,1,1,2,306035,1,1,2,,,,,,,,,,,,
66,306036,1,1,2,306038,1,1,2,306035,1,1,2,306037,1,1,2,,,,
67,306036,1,1,2,306038,1,1,2,,,,,,,,,,,,
68,306036,1,1,2,306039,1,1,2,306035,1,1,2,306037,1,1,2,,,,
69,306035,1,1,2,306036,1,1,2,,,,,,,,,,,,
70,306034,1,1,2,306035,1,1,2,306039,1,1,2,306038,1,1,2,306037,1,1,2
71,306037,1,1,2,306038,1,1,2,306039,1,1,2,306036,1,1,2,,,,
72,306035,1,1,2,306039,1,1,2,306038,1,1,2,306037,1,1,2,,,,
73,306036,1,1,2,306023,1,1,2,306035,1,1,2,,,,,,,,
74,306038,1,1,2,306023,1,1,2,306035,1,1,2,306039,1,1,2,306037,1,1,2
75,306037,1,1,2,306038,1,1,2,306035,1,1,2,,,,,,,,
76,306039,1,1,2,306023,1,1,2,306036,1,1,2,306035,1,1,2,306038,1,1,2
77,306037,1,1,2,306023,1,1,2,306025,1,1,2,306038,1,1,2,306039,1,1,2
78,306038,1,1,2,306039,1,1,2,,,,,,,,,,,,
79,306038,1,1,2,306025,1,1,2,306036,1,1,2,306039,1,1,2,306023,1,1,2
80,306038,1,1,2,306025,1,1,2,306039,1,1,2,306035,1,1,2,,,,
81,306036,1,1,2,306027,1,1,2,306023,1,1,2,,,,,,,,
82,306027,1,1,2,306023,1,1,2,306039,1,1,2,306038,1,1,2,,,,
83,306027,1,1,2,306023,1,1,2,306038,1,1,2,306025,1,1,2,306036,1,1,2
84,306038,1,1,2,306035,1,1,2,306036,1,1,2,306023,1,1,2,,,,
85,306037,1,1,2,306036,1,1,2,,,,,,,,,,,,
86,306039,1,1,2,306037,1,1,2,306036,1,1,2,306035,1,1,2,306029,1,1,2
87,306037,1,1,2,306029,1,1,2,306035,1,1,2,306023,1,1,2,306038,1,1,2
88,306037,1,1,2,306038,1,1,2,306029,1,1,2,306036,1,1,2,306027,1,1,2
89,306039,1,1,2,306037,1,1,2,306035,1,1,2,306025,1,1,2,306038,1,1,2
90,306025,1,1,2,306036,1,1,2,306035,1,1,2,306039,1,1,2,306023,1,1,2
91,306029,1,1,2,306039,1,1,2,306031,1,1,2,306035,1,1,2,306037,1,1,2
92,306025,1,1,2,306027,1,1,2,306038,1,1,2,306029,1,1,2,306031,1,1,2
93,306039,1,1,2,306035,1,1,2,306025,1,1,2,306023,1,1,2,306031,1,1,2
94,306037,1,1,2,306027,1,1,2,306036,1,1,2,306025,1,1,2,306035,1,1,2
95,306037,1,1,2,306027,1,1,2,306025,1,1,2,306029,1,1,2,306035,1,1,2
96,306025,1,1,2,306033,1,1,2,306035,1,1,2,306029,1,1,2,306038,1,1,2
97,306039,1,1,2,306023,1,1,2,306029,1,1,2,306031,1,1,2,306038,1,1,2
98,306029,1,1,2,306039,1,1,2,306036,1,1,2,,,,,,,,
99,306038,1,1,2,306025,1,1,2,306023,1,1,2,306035,1,1,2,306027,1,1,2
100,306025,1,1,2,306036,1,1,2,,,,,,,,,,,,
101,306035,1,1,2,,,,,,,,,,,,,,,,
102,306035,1,1,2,,,,,,,,,,,,,,,,
103,306035,1,1,2,,,,,,,,,,,,,,,,
104,306035,1,1,2,306036,1,1,2,,,,,,,,,,,,
105,306036,1,1,2,306035,1,1,2,,,,,,,,,,,,
106,306036,1,1,2,306035,1,1,2,,,,,,,,,,,,
107,306036,1,1,2,306037,1,1,2,,,,,,,,,,,,
108,306036,1,1,2,306035,1,1,2,306037,1,1,2,,,,,,,,
109,306037,1,1,2,306036,1,1,2,,,,,,,,,,,,
110,306020,1,1,2,306035,1,1,2,306036,1,1,2,306037,1,1,2,,,,
111,306038,1,1,2,306036,1,1,2,,,,,,,,,,,,
112,306035,1,1,2,306038,1,1,2,306036,1,1,2,306037,1,1,2,,,,
113,306037,1,1,2,306039,1,1,2,306036,1,1,2,,,,,,,,
114,306035,1,1,2,306037,1,1,2,306039,1,1,2,306038,1,1,2,,,,
115,306035,1,1,2,306039,1,1,2,306038,1,1,2,,,,,,,,
116,306039,1,1,2,306038,1,1,2,306000,1,1,2,306035,1,1,2,306037,1,1,2
117,306036,1,1,2,306038,1,1,2,306000,1,1,2,306035,1,1,2,,,,
118,306037,1,1,2,306039,1,1,2,306035,1,1,2,,,,,,,,
119,306038,1,1,2,306001,1,1,2,306000,1,1,2,306036,1,1,2,306037,1,1,2
