Key,English,Korean
BUFF_NAME_101000,Increase Health,최대 체력 증가
BUFF_NAME_101001,Increase Health,최대 체력 증가
BUFF_NAME_102000,Increase Attack,공격 강화
BUFF_NAME_102001,Increase Attack,공격 강화
BUFF_NAME_103000,Increase Defense,방어 강화
BUFF_NAME_103001,Increase Defense,방어 강화
BUFF_NAME_104000,Increase Critical Chance,치명 확률 증가
BUFF_NAME_104001,Increase Critical Chance,치명 확률 증가
BUFF_NAME_105000,Increase Dodge Chance,회피 확률 증가
BUFF_NAME_105001,Increase Dodge Chance,회피 확률 증가
BUFF_NAME_106000,Increase Speed,속도 증가
BUFF_NAME_106001,Increase Speed,속도 증가
BUFF_NAME_202000,Decrease Attack,공격 약화
BUFF_NAME_202001,Decrease Attack,공격 약화
BUFF_NAME_203001,Decrease Defense,방어 약화
BUFF_NAME_204001,Decrease Critical Chance,치명 확률 감소
BUFF_NAME_205001,Decrease Dodge Chance,회피 확률 감소
BUFF_NAME_206001,Decrease Speed,속도 감소
