Key,English,Korean,Portuguese
ITEM_DESCRIPTION_105000,A,가,A
ITEM_DESCRIPTION_105001,A,가,A
ITEM_DESCRIPTION_105002,A,가,A
ITEM_DESCRIPTION_200000,It doesn't taste good because it failed to cook[comma] but it can be eaten.,요리에 실패해서 맛이 없지만 먹을 수는 있다.,Não terá gosto bom pois eu falhei em cozinhar [comma] mas ainda pode ser consumido.
ITEM_DESCRIPTION_201000,A cat's eternal friend. It has the effect of supplementing the physical strength.,고양이의 영원한 친구. 체력을 조금 보충하는 효과가 있다.,O amigo eterno de um gato. Tem efeito de adicionar mais força física.
ITEM_DESCRIPTION_201001,This can of tuna is much more delicious than others.,이 참치캔은 그냥 참치캔보다 훨씬 맛있다.,Essa lata de atum é muito mais deliciosa que as outras.
ITEM_DESCRIPTION_201002,Baked the eggs in olive oil. Feels good when eaten.,올리브유에 달걀을 지글지글 구워냈다. 먹고 나면 기분이 좋아진다.,Ovos cozidos no azeite de oliva. Sensação muito boa quando consumido.
ITEM_DESCRIPTION_201003,It is a fried egg that has been carefully cooked on one side.,정성스레 한쪽 면만 익혀낸 계란후라이다.,Ovos fritos que foram cozidos com muito cuidado de um lado.
ITEM_DESCRIPTION_201004,Its amazing flavor comes from herbs.,허브를 곁들여 독특한 풍미가 일품인 최고의 계란후라이다.,Seu sabor incrível vem de uma erva.
ITEM_DESCRIPTION_201005,Omelet made by roughly mixing egg and rice. The effects are not very good.,달걀과 밥을 대충 섞어 만든 오므라이스. 대충 만들어서 효과는 별로다.,Omelete feita misturando arroz e ovos.O efeito não é muito bom.
ITEM_DESCRIPTION_201006,The harmony of eggs[comma] rice[comma] and ingredients is wonderful. It works better than a roughly cooked dish.,달걀과 밥 그리고 재료의 조화가 훌륭하다. 대충 만든 요리보다 효과가 좋다.,A harmonia dos ovos [comma]  arroz [comma] e outros ingredientes é maravilhosa.Melhor que um prato feito as pressas.
