id,goal,quest_reward_id,recipe_id,sub_recipe_id
1100001,1,101,1,
1100002,1,101,2,1
1100003,1,101,3,4
1100004,1,101,4,7
1100005,1,101,5,10
1100006,1,102,6,
1100007,1,102,7,13
1100008,1,102,8,16
1100009,1,102,9,19
1100010,1,102,10,22
1100011,1,103,11,
1100012,1,103,12,25
1100013,1,103,13,28
1100014,1,103,14,31
1100015,1,103,15,34
1100016,1,103,16,
1100017,1,103,17,37
1100018,1,103,18,40
1100019,1,103,19,43
1100020,1,103,20,46
1100021,1,104,21,
1100022,1,104,22,49
1100023,1,104,23,52
1100024,1,104,24,55
1100025,1,104,25,58
1100026,1,104,26,
1100027,1,104,27,61
1100028,1,104,28,64
1100029,1,104,29,67
1100030,1,104,30,70
1100031,1,105,31,
1100032,1,105,32,73
1100033,1,105,33,76
1100034,1,105,34,79
1100035,1,105,35,82
1100036,1,105,36,
1100037,1,105,37,85
1100038,1,105,38,88
1100039,1,105,39,91
1100040,1,105,40,94
1100041,1,105,41,
1100042,1,201,42,
1100043,1,201,43,97
1100044,1,201,44,100
1100045,1,201,45,103
1100046,1,201,46,106
1100047,1,202,47,
1100048,1,202,48,109
1100049,1,202,49,112
1100050,1,202,50,115
1100051,1,202,51,118
1100052,1,203,52,
1100053,1,203,53,121
1100054,1,203,54,124
1100055,1,203,55,127
1100056,1,203,56,130
1100057,1,203,57,
1100058,1,203,58,133
1100059,1,203,59,136
1100060,1,203,60,139
1100061,1,203,61,142
1100062,1,204,62,
1100063,1,204,63,145
1100064,1,204,64,148
1100065,1,204,65,151
1100066,1,204,66,154
1100067,1,204,67,
1100068,1,204,68,157
1100069,1,204,69,160
1100070,1,204,70,163
1100071,1,204,71,166
1100072,1,205,72,
1100073,1,205,73,169
1100074,1,205,74,172
1100075,1,205,75,175
1100076,1,205,76,178
1100077,1,205,77,
1100078,1,205,78,181
1100079,1,205,79,184
1100080,1,205,80,187
1100081,1,205,81,190
1100082,1,205,82,
1100083,1,301,83,
1100084,1,301,84,193
1100085,1,301,85,196
1100086,1,301,86,199
1100087,1,301,87,202
1100088,1,302,88,
1100089,1,302,89,205
1100090,1,302,90,208
1100091,1,302,91,211
1100092,1,302,92,214
1100093,1,303,93,
1100094,1,303,94,217
1100095,1,303,95,220
1100096,1,303,96,223
1100097,1,303,97,226
1100098,1,304,98,
1100099,1,304,99,229
1100100,1,304,100,232
1100101,1,304,101,235
1100102,1,304,102,238
1100103,1,305,103,
1100104,1,305,104,241
1100105,1,305,105,244
1100106,1,305,106,247
1100107,1,305,107,250
1100108,1,401,108,
1100109,1,401,109,253
1100110,1,401,110,256
1100111,1,401,111,259
1100112,1,401,112,262
1100113,1,402,113,
1100114,1,402,114,265
1100115,1,402,115,268
1100116,1,402,116,271
1100117,1,402,117,274
1100118,1,403,118,
1100119,1,403,119,277
1100120,1,403,120,280
1100121,1,403,121,283
1100122,1,403,122,286
1100123,1,404,123,
1100124,1,404,124,289
1100125,1,404,125,292
1100126,1,404,126,295
1100127,1,404,127,298
1100128,1,405,128,
1100129,1,405,129,301
1100130,1,405,130,304
1100131,1,405,131,307
1100132,1,405,132,310
1100133,1,501,133,
1100134,1,501,134,313
1100135,1,501,135,316
1100136,1,501,136,319
1100137,1,501,137,322
1100138,1,502,138,
1100139,1,502,139,325
1100140,1,502,140,328
1100141,1,502,141,331
1100142,1,502,142,334
1100143,1,503,143,
1100144,1,503,144,337
1100145,1,503,145,340
1100146,1,503,146,343
1100147,1,503,147,346
1100148,1,504,148,
1100149,1,504,149,349
1100150,1,504,150,352
1100151,1,504,151,355
1100152,1,504,152,358
1100153,1,505,153,
1100154,1,505,154,361
1100155,1,505,155,364
1100156,1,505,156,367
1100157,1,505,157,370
