id,goal,quest_reward_id
100001,1,2
100002,51,11
100003,101,11
100004,151,11
100005,2,2
100006,3,2
100007,4,2
100008,5,2
100009,6,2
100010,7,2
100011,8,2
100012,9,2
100013,10,2
100014,11,2
100015,12,2
100016,13,2
100017,14,2
100018,15,2
100019,16,2
100020,17,2
100021,18,2
100022,19,2
100023,20,2
100024,21,2
100025,22,2
100026,23,2
100027,24,2
100028,25,2
100029,26,2
100030,27,2
100031,28,2
100032,29,2
100033,30,2
100034,31,2
100035,32,2
100036,33,2
100037,34,2
100038,35,2
100039,36,2
100040,37,2
100041,38,2
100042,39,2
100043,40,2
100044,41,2
100045,42,2
100046,43,2
100047,44,2
100048,45,2
100049,46,2
100050,47,2
100051,48,2
100052,49,2
100053,50,2
100054,52,11
100055,53,11
100056,54,11
100057,55,11
100058,56,11
100059,57,11
100060,58,11
100061,59,11
100062,60,11
100063,61,11
100064,62,11
100065,63,11
100066,64,11
100067,65,11
100068,66,11
100069,67,11
100070,68,11
100071,69,11
100072,70,11
100073,71,11
100074,72,11
100075,73,11
100076,74,11
100077,75,11
100078,76,11
100079,77,11
100080,78,11
100081,79,11
100082,80,11
100083,81,11
100084,82,11
100085,83,11
100086,84,11
100087,85,11
100088,86,11
100089,87,11
100090,88,11
100091,89,11
100092,90,11
100093,91,11
100094,92,11
100095,93,11
100096,94,11
100097,95,11
100098,96,11
100099,97,11
100100,98,11
100101,99,11
100102,100,11
100103,102,11
100104,103,11
100105,104,11
100106,105,11
100107,106,11
100108,107,11
100109,108,11
100110,109,11
100111,110,11
100112,111,11
100113,112,11
100114,113,11
100115,114,11
100116,115,11
100117,116,11
100118,117,11
100119,118,11
100120,119,11
100121,120,11
100122,121,11
100123,122,11
100124,123,11
100125,124,11
100126,125,11
100127,126,11
100128,127,11
100129,128,11
100130,129,11
100131,130,11
100132,131,11
100133,132,11
100134,133,11
100135,134,11
100136,135,11
100137,136,11
100138,137,11
100139,138,11
100140,139,11
100141,140,11
100142,141,11
100143,142,11
100144,143,11
100145,144,11
100146,145,11
100147,146,11
100148,147,11
100149,148,11
100150,149,11
100151,150,11
100152,152,11
100153,153,11
100154,154,11
100155,155,11
100156,156,11
100157,157,11
100158,158,11
100159,159,11
100160,160,11
100161,161,11
100162,162,11
100163,163,11
100164,164,11
100165,165,11
100166,166,11
100167,167,11
100168,168,11
100169,169,11
100170,170,11
100171,171,11
100172,172,11
100173,173,11
100174,174,11
100175,175,11
100176,176,11
100177,177,11
100178,178,11
100179,179,11
100180,180,11
100181,181,11
100182,182,11
100183,183,11
100184,184,11
100185,185,11
100186,186,11
100187,187,11
100188,188,11
100189,189,11
100190,190,11
100191,191,11
100192,192,11
100193,193,11
100194,194,11
100195,195,11
100196,196,11
100197,197,11
100198,198,11
100199,199,11
100200,200,11
