Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
WORD_NOTIFICATION,NOTIFICATION,알림,NOTIFICAÇÃO,通知,NOTIFICAÇÃO,การแจ้งเตือน,Pemberitahuan,Уведомление,通知,通知,Pagpapabatid,การแจ้งเตือน
UI_INFINITETOWER_TITLE,Infinite Tower,무한의탑,Torre Infinita,無限の塔,Torre Infinita,หอคอยอนันต์,Menara Tak Terbatas,Бесконечная башня,无限塔,無限塔,Walang Hanggang Tore,Tháp Vô Hạn
UI_INFINITETOWER_SEASON,Season {0},시즌 {0},Temporada {0},シーズン{0},Temporada {0},ฤดูกาล {0},Musim {0},Сезон {0},赛季{0},賽季{0},Panahon {0},Mùa {0}
UI_INFINITETOWER_CHALLENGE_INFO,Challenge Info,도전 중 정보,Informações do Desafio,チャレンジ情報,Información del Desafío,ข้อมูลการท้าทาย,Info Tantangan,Информация о вызове,挑战信息,挑戰資訊,Impormasyon ng Hamon,Thông tin thử thách
UI_INFINITETOWER_CLEAR_INFO,Clear Info,클리어 정보,Informações de Limpeza,クリア情報,Información de Limpieza,ข้อมูลการล้าง,Info Bersih,Информация об очистке,清除信息,清除資訊,Impormasyon ng Linis,Thông tin xóa
UI_INFINITETOWER_CLEAR_COUNT,Clear Count,클리어 수,Contagem de Limpeza,クリア数,Conteo de Limpieza,จำนวนการล้าง,Jumlah Bersih,Количество очисток,清除次数,清除次數,Bilang ng Linis,Số lần xóa
UI_INFINITETOWER_ENTER_BUTTON,Challenge,도전,Desafio,チャレンジ,Desafío,ท้าทาย,Tantangan,Вызов,挑战,挑戰,Hamon,Thử thách
UI_INFINITETOWER_BATTLE_CONDITION,Battle Condition,전투 조건,Condição de Batalha,バトル条件,Condición de Batalla,เงื่อนไขการต่อสู้,Syarat Pertempuran,Условие боя,战斗条件,戰鬥條件,Kundisyon ng Laban,Điều kiện chiến đấu
UI_INFINITETOWER_BUFF_CONDITION,Buff Condition,버프 조건,Condição de Buff,バフ条件,Condición de Buff,เงื่อนไขบัฟ,Syarat Buff,Условие баффа,增益条件,增益條件,Kundisyon ng Buff,Điều kiện tăng cường
UI_INFINITETOWER_REQUIRED_BADGE,Required,필수,Obrigatório,必須,Obligatorio,จำเป็น,Wajib,Обязательно,必需,必需,Kailangan,Bắt buộc
UI_INFINITETOWER_ENEMY_BADGE,Enemy,적,Inimigo,敵,Enemigo,ศัตรู,Musuh,Враг,敌人,敵人,Kaaway,Kẻ thù
UI_INFINITETOWER_PLAYER_BADGE,Player,플레이어,Jogador,プレイヤー,Jugador,ผู้เล่น,Pemain,Игрок,玩家,玩家,Manlalaro,Người chơi
