Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
ITEM_NAME_105000,Diamond,다이아몬드,Diamante,ダイヤモンド,Diamante,เพชร,berlian,,钻石,鑽石,Diamante,Kim cương
ITEM_NAME_105001,Diamond,다이아몬드,Diamante,ダイヤモンド,Diamante,เพชร,berlian,,钻石,鑽石,Diamante,Kim cương
ITEM_NAME_105002,Diamond,다이아몬드,Diamante,ダイヤモンド,Diamante,เพชร,berlian,,钻石,鑽石,Diamante,Kim cương
ITEM_NAME_200000,Failed Dish,맛없는 요리,Prato Falhado,失敗した料理,Plato fallido,จานอาหารที่ล้มเหลว,Hidangan Gagal,,失败的菜肴,失敗的菜,Sirang pagkain,Đĩa bị lỗi
ITEM_NAME_201000,Canned Tuna,참치캔,Atum Enlatado,ツナ缶,Atún enlatado,ทูน่ากระป๋อง,Tuna kaleng,,金枪鱼罐头,金槍魚罐頭,De-latang tuna,Cá ngừ đóng hộp
ITEM_NAME_201001,Legendary Canned Tuna,전설의 참치캔,Atum Enlatado Lendário,伝説のツナ缶,Atún enlatado Legendario,ปลาทูน่ากระป๋องในตำนาน,Ikan Tuna Kalengan Legendaris,,传统的金枪鱼罐头,傳奇的金槍魚罐頭,Maalamat na de-latang tuna,Cá ngừ đóng hộp huyền thoại
ITEM_NAME_201002,Fried Egg,계란후라이,Ovo Frito,目玉焼き,Huevo Frito,ไข่ดาว,Telor goreng,,煎蛋,煎雞蛋,Pritong itlog,Trứng rán
ITEM_NAME_201003,Sunny Side Up,반숙 후라이,Ovos Estrelados,サニーサイドアップ,Huevo Frito por un lado,ไข่ทอดด้านเดียว,Telur mata sapi,,一面黄,陽光明媚的一面朝上,Sunny Side Up,Mặt sáng lên
ITEM_NAME_201004,Delicious Fried Egg,전설의 후라이,Ovo Frito Lendário,伝説の目玉焼き,Huevo frito Legendario,ไข่ดาวในตำนาน,Telur Goreng Legendaris,,传统煎蛋,傳奇的炸雞蛋,Maalamat na Pritong Itlog,Trứng rán ngon lành
ITEM_NAME_201005,Omelet,대충 만든 오므라이스,Omelete Dura,雑なオムレツ,Omelet grueso,ไข่เจียวหยาบ,Omelet Kasar,,煎蛋卷,粗煎蛋捲,Magaspang na Omelet,Trứng cuộn
