Key,English,Korean,PortugueseBrazil,Portuguese,Japanese,German,Spanish,Thai,Polish,Lithuanian,Dutch,Indonesian,French,Russian,Cambodian,Urdu,ChineseSimplified,Hungarian
PUSH_PROSPERITY_METER_TITLE,Prosperity meter is full!,번영도 꽉 참!,,,,,,,,,,,,,,,,
PUSH_PROSPERITY_METER_CONTENT,Prosperity meter is full. Obtain rewards now!,번영도가 꽉 찼습니다. 보상을 획득하세요!,,,,,,,,,,,,,,,,
PUSH_WORKSHOP_CRAFT_COMPLETE_TITLE,,,,,,,,,,,,,,,,,,
PUSH_WORKSHOP_CRAFT_COMPLETE_CONTENT,,,,,,,,,,,,,,,,,,
PUSH_WORKSHOP_UPGRADE_COMPLETE_TITLE,,,,,,,,,,,,,,,,,,
PUSH_WORKSHOP_UPGRADE_COMPLETE_CONTENT,,,,,,,,,,,,,,,,,,
PUSH_ARENA_SEASON_START_TITLE,,,,,,,,,,,,,,,,,,
PUSH_ARENA_SEASON_START_CONTENT,,,,,,,,,,,,,,,,,,
PUSH_ARENA_TICKET_TITLE,,,,,,,,,,,,,,,,,,
PUSH_ARENA_TICKET_CONTENT,,,,,,,,,,,,,,,,,,
PUSH_WORLDBOSS_SEASON_START_TITLE,,,,,,,,,,,,,,,,,,
PUSH_WORLDBOSS_SEASON_START_CONTENT,,,,,,,,,,,,,,,,,,
PUSH_WORLDBOSS_TICKET_TITLE,,,,,,,,,,,,,,,,,,
PUSH_WORLDBOSS_TICKET_CONTENT,,,,,,,,,,,,,,,,,,
