Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
ERROR_FAILED_TO_UNLOCK_WORLD,Failed to unlock the world.,월드 오픈에 실패했습니다.,Falhou em desbloquear o mundo.,世界のロック解除に失敗しました。,Falló el desbloqueo de este mundo.,ไม่สามารถปลดล็อคโลกได้,Gagal membuka dunia.,Не удалось разблокировать мир.,未能解锁世界。,未能解鎖世界。,Nabigong i-unlock ang mundo.,Không mở khóa thế giới.
ERROR_UNKNOWN,An unknown error occurred.,알 수 없는 오류가 발생했습니다.,Unknown error occurred.,不明なエラーが発生しました。,Ocurrió un error desconocido.,เกิดข้อผิดพลาด,Unknown error occurred.,Unknown error occurred.,Unknown error occurred.,發生未知錯誤。,Naganap ang isang hindi kilalang error.,Một lỗi không xác định xảy ra.
ERROR_REQUIRE_BLOCK,The equipment is not available.,장비를 사용할 수 없습니다.,The equipment is not available.,装備が使用できません。,El equipamento no esta disponible.,อุปกรณ์ไม่พร้อมใช้งาน,The equipment is not available.,The equipment is not available.,The equipment is not available.,裝備不可用。,Ang kagamitan ay hindi magamit.,Các thiết bị không có sẵn.
ERROR_SLOT_UNLOCK,The equipment slot is locked.,장비 슬롯이 잠겨있습니다.,The equipment slot is locked.,装備スロットがロックされています。,La ranura de equipamento esta cerrada.,ช่องใส่อุปกรณ์ถูกล็อค,The equipment slot is locked.,The equipment slot is locked.,The equipment slot is locked.,裝備插槽被鎖定。,Ang kagamitan ay naka-lock.,Các khe thiết bị bị khóa.
ERROR_ACTION_POINT,Not enough action points.,AP가 부족합니다.,Not enough action points.,APが足りません。,No hay suficientes puntos de acción.,Action Points ไม่เพียงพอ,Not enough action points.,Not enough action points.,Not enough action points.,沒有足夠的行動點。,Hindi sapat ang Action Points.,Không đủ điểm hành động.
ERROR_INVALID_ADDRESS,The address is not available.,사용할 수 없는 주소입니다.,The address is not available.,使用できないアドレスです。,La dirección no esta disponible.,ที่อยู่ไม่สามารถใช้งานได้,The address is not available.,The address is not available.,The address is not available.,該地址不可用。,Ang address ay hindi makita.,Địa chỉ không có sẵn.
ERROR_FAILED_LOAD_STATE,Failed to load the state.,상태를 불러올 수 없습니다.,Failed to load state.,状態読み込みに失敗しました。,Fallo la carga de estado.,โหลดสถานะไม่สำเร็จ,Failed to load state.,Failed to load state.,Failed to load state.,無法加載狀態。,Nabigong i-load ang estado.,Không tải được trạng thái.
ERROR_NOT_ENOUGH_CLEARED_STAGE_LEVEL,Not enough cleared stage levels.,필요한 스테이지를 아직 클리어하지 못했습니다.,Not enough cleared stage level.,必要なステージをまだクリアしていません。,El avance en el escenario fue insuficiente.,เคลียร์ด่านไม่พอ,Not enough cleared stage level.,Not enough cleared stage level.,Not enough cleared stage level.,沒有足夠的通關等級。,Hindi sapat ang natapos na stage level.,Không đủ mức độ giai đoạn.
ERROR_WEEKLY_ARENA_STATE_ALREADY_ENDED,The weekly arena has already ended.,주간 아레나가 이미 종료되었습니다.,The weekly arena already ended.,アリーナが終了しました。,La arena semanal ya finalizó.,อารีน่าประจำสัปดาห์สิ้นสุดลงแล้ว,The weekly arena already ended.,The weekly arena already ended.,The weekly arena already ended.,每週的競技場已經結束。,Natapos na ang lingguhang arena.,Đấu trường hàng tuần đã kết thúc.
ERROR_WEEKLY_ARENA_STATE_NOT_CONTAINS_AVATAR_ADDRESS,The weekly arena does not contain the avatar.,아레나에 아바타가 없습니다.,The weekly arena does not contains the avatar.,アリーナにアバターがありません。,La arena semanal no incluye el avatar.,อารีน่ารายสัปดาห์ไม่มีอวาตาร์,The weekly arena does not contains the avatar.,The weekly arena does not contains the avatar.,The weekly arena does not contains the avatar.,每週的競技場不包含该人物。,Wala ang avatar sa lingguhang arena.,Đấu trường hàng tuần không chứa Avatar.
ERROR_NOT_ENOUGH_WEEKLY_ARENA_CHALLENGE_COUNT,Not enough weekly arena challenge counts.,아레나 도전 횟수가 부족합니다.,Not enough weekly arena challenge count.,アリーナ参加回数が足りません。,No hay suficiente cantidad de desafíos semanales en la arena.,จำนวนความท้าทายในอารีน่าสัปดาห์ไม่เพียงพอ,Not enough weekly arena challenge count.,Not enough weekly arena challenge count.,Not enough weekly arena challenge count.,沒有足夠的每週競技場挑戰數量。,Hindi sapat ang nakuhang bilang sa lingguhang arena.,Không đủ số lượng thử thách đấu trường hàng tuần.
ERROR_NOT_ENOUGH_FUNGIBLE_ASSET_VALUE,Not enough fungible asset value.,펀지블 에셋 값이 충분하지 않습니다.,Not enough fungible asset value.,Not enough fungible asset value.,No hay suficiente valor de activos fungibles.,มูลค่าสินทรัพย์ทดแทนไม่เพียงพอ,Not enough fungible asset value.,Not enough fungible asset value.,Not enough fungible asset value.,可替代資產價值不足。,Kulang ang halaga ng fungible asset.,Không đủ giá trị tài sản của nấm.
ERROR_REORG_OCCURRED,"A reorganization occurred. The best chain has changed, which may have altered your game history.","리오그 발생! 정본 체인이 달라져, 당신의 게임 역사에 균열이 생겼을 수도 있습니다.","Reorg ocorreu. A melhor cadeia alterado, pode ter alter em sua história do jogo.",ブロックチェーンの再編成が発生しました。ゲームの歴史に変化が起こった可能性があります。,Una reorganización de la blockchain ocurrió. La mejor cadena cambio y puedes tener un un alterno en la historia de tu juego,reorg เกิดขึ้น ห่วงโซ่ที่ดีที่สุดของการเปลี่ยนแปลงอาจจะมีการเปลี่ยนแปลงในประวัติเกมของคุณ,"Reorg terjadi. Rantai terbaik berubah, mungkin memiliki alter dalam sejarah permainan Anda.","REORG произошло. Лучшая цепь изменилась, может быть альтер в истории игры.",个重组发生。最优秀的连锁变化，可能在你的游戏历史ALTER。,發生了重組。最好的鏈發生了變化，可能會改變你的遊戲歷史記錄。,"Naganap ang isang reorg.Nag-update ang chain, maaaring nagkaroon ng pagbabago sa kasaysayan ng iyong laro.","Một tổ chức lại xảy ra. Chuỗi tốt nhất đã thay đổi, có thể đã thay đổi lịch sử trò chơi của bạn."
ERROR_NETWORK,Network error detected.,네트워크 오류가 발생했습니다.,Network error detected.,ネットワークエラーが発生しました。,Error detectado en la red.,ตรวจพบข้อผิดพลาดของเครือข่าย,Network error detected.,Network error detected.,Network error detected.,檢測到網絡錯誤。,May nakitang pagkakamali sa network.,Lỗi mạng được phát hiện.
ERROR_UNHANDLED,Unhandled error occurred.,처리되지 않은 오류가 발생했습니다.,Unhandled error occurred.,Unhandled error occurred.,No se puede manejar el error,เกิดข้อผิดพลาดที่จัดการไม่ได้,Unhandled error occurred.,Unhandled error occurred.,Unhandled error occurred.,發生未處理的錯誤。,Nangyari ang isang hindi inaasahang pagkakamali.,Đã xảy ra lỗi chưa được xử lý.
ERROR_UNABLE_TO_RENDER_WHEN_SYNCING_BLOCKS,Unable to render when syncing blocks.,블록 동기화 중에는 렌더링 할 수 없습니다.,Unable to render when syncing blocks.,ブロックシンク中にはレンダーできません。,No se puede renderizar cuando se sincronizan bloques.,ไม่สามารถแสดงผลเมื่อซิงค์บล็อค,Unable to render when syncing blocks.,Unable to render when syncing blocks.,Unable to render when syncing blocks.,同步塊時無法渲染。,Hindi ma-render tuwing nagsi-sync ng mga blocks..,Không thể kết xuất khi đồng bộ hóa các khối.
ERROR_WORLD_DOES_NOT_EXIST,This world doesn't exist.,월드가 존재하지 않습니다.,The world doesn't exist,ワールドが存在しません。,El mundo no existe.,โลกไม่ได้มีอยู่,The world doesn't exist,The world doesn't exist,The world doesn't exist,世界不存在,Wala ang mundong ito.,Thế giới này không tồn tại.
ERROR_INVALID_RENDER,Failed to render.,렌더링에 실패했습니다.,Failed to render.,レンダリングに失敗しました。,Falló el renderizado.,แสดงผลไม่สำเร็จ,Failed to render.,Failed to render.,渲染失败。,未能渲染。,Nabigong maipakita,Không thể kết xuất.
ERROR_CODE_FAILED_LOADING_STATE,Failed to load the state.,상태를 불러올 수 없습니다.,Falha estado de carregamento.,状態ロードに失敗しました。,Falló la carga de estado.,สถานะล้มเหลวในการโหลด,Negara gagal memuat.,Ошибка загрузки состояния.,无法加载状态。,加載失敗狀態。,Nabigong ma-load ang estado.,Không tải được trạng thái.
ERROR_CODE_ITEM_DOES_NOT_EXIST,Unable to locate the item.,이미 매대에 없는 상품입니다.,O item não estiver na prateleira.,販売リストにないアイテムです。,El artículo no está ya en el estante.,ไอเท็มไม่ได้อยู่บนชั้นวาง,item tidak sudah di rak.,Деталь уже не на полке.,该项目是不是已经在货架上。,該物品尚未上架。,Ang item ay hindi pa naroroon sa aparador.,Không thể xác định vị trí vật phẩm.
ERROR_CODE_SHOPITEM_EXPIRED,This listing has expired.,판매 기한이 지난 상품입니다.,O item está atrasado.,販売期限切れの商品です。,El objeto caducó.,ไอเท็มค้างชำระ,item tersebut terlambat.,Товар не актуально.,该项目是姗姗来迟。,該物品逾期。,Ang aytem ay lampas na sa ibinigay na oras.,Danh sách này đã hết hạn.
