id,_name,size_type,elemental_type,hp,atk,def,cri,hit,spd,lv_hp,lv_atk,lv_def,lv_cri,lv_hit,lv_spd,attack_range,run_speed
100010,전사,S,0,300,20,10,10,90,70,12,0.8,0.4,0,3.6,2.8,0.5,3
100110,궁수,S,0,100,78,28,7,50,15,4,3.12,1.12,0,2,0.6,2,3
100210,법사,S,0,100,80,29,7,50,15,4,3.2,1.16,0,2,0.6,1,3
201000,이그드라실의 씨앗,XS,2,80,16,6,4,90,15,3.2,0.64,0.24,0,3.6,0.6,0.8,1.2
201001,이그드라실의 새싹,XS,2,70,14,6,4,90,20,2.8,0.56,0.24,0,3.6,0.8,0.9,1
201002,이그드라실의 새싹,XS,2,100,19,6,4,90,10,4,0.76,0.24,0,3.6,0.4,0.95,1
201003,이그드라실의 꽃,S,2,750,21,4,4,90,10,30,0.84,0.16,0,3.6,0.4,1.6,0.5
201004,이그드라실의 열매,XS,2,100,14,10,4,90,15,4,0.56,0.4,0,3.6,0.6,0.93,0.8
201005,이그드라실의 모종,S,2,1500,33,7,4,90,8,60,1.32,0.28,0,3.6,0.32,3,0.3
201006,이그드라실의 덩굴,L,2,1000,23,5,4,90,9,40,0.92,0.2,0,3.6,0.36,2.4,0.8
201007,이그드라실의 버섯포자,L,2,750,31,7,4,90,5,30,1.24,0.28,0,3.6,0.2,3,0.5
201008,이그드라실의 덤불,M,2,700,33,8,4,90,4,28,1.32,0.32,0,3.6,0.16,1.6,0.5
202000,여우부족 졸개,S,3,80,13,5,4,90,15,3.2,0.52,0.2,0,3.6,0.6,1.6,1
202001,여우부족 훈련병,S,3,120,21,4,4,90,11,4.8,0.84,0.16,0,3.6,0.44,0.8,0.8
202002,여우부족 도적,M,3,300,22,7,4,90,7,12,0.88,0.28,0,3.6,0.28,0.9,0.8
202003,여우부족 전사,M,3,750,29,6,4,90,5,30,1.16,0.24,0,3.6,0.2,1,0.8
202004,여우부족 주술사,L,3,750,31,8,4,90,5,30,1.24,0.32,0,3.6,0.2,2.4,0.5
202005,여우부족 견습 마법사,M,3,500,23,2,4,90,15,20,0.92,0.08,0,3.6,0.6,2.3,0.5
202006,여우부족 마도사,L,3,1100,33,4,8,90,5,44,1.32,0.16,0,3.6,0.2,3,0.5
202007,여우부족 대장,XL,3,1800,52,10,4,90,5,72,2.08,0.4,0,3.6,0.2,4,0.2
203000,돼지부족 졸개,XS,1,100,16,13,4,90,20,4,0.64,0.52,0,3.6,0.8,0.8,1
203001,돼지부족 훈련병,S,1,100,26,6,4,90,12,4,1.04,0.24,0,3.6,0.48,0.85,0.8
203002,돼지부족 견습 마법사,M,1,100,26,6,4,90,15,4,1.04,0.24,0,3.6,0.6,2.4,0.5
203003,돼지부족 전사,M,1,1000,31,6,4,90,9,40,1.24,0.24,0,3.6,0.36,0.86,0.5
203004,돼지부족 성기사,M,1,500,26,12,4,90,11,20,1.04,0.48,0,3.6,0.44,1.6,0.3
203005,돼지부족 도살자,L,1,850,45,8,4,90,9,34,1.8,0.32,0,3.6,0.36,1.65,0.3
203006,돼지부족 마도사,L,1,1000,45,10,8,90,5,40,1.8,0.4,0,3.6,0.2,3,0.3
203007,제림니르,XL,1,2500,50,7,4,90,5,100,2,0.28,0,3.6,0.2,4,0.3
204000,이그드라실의 부산물,S,0,70,16,4,4,90,15,2.8,0.64,0.16,0,3.6,0.6,1,0.2
204010,이그드라실의 부산물,XS,0,50,15,0,4,90,15,2,0.6,0,0,3.6,0.6,1.5,0.2
204020,이그드라실의 부산물,M,0,76,18,7,4,90,15,3.04,0.72,0.28,0,3.6,0.6,2.5,0.5
204001,이그드라실의 부산물(대지),S,3,66,16,5,4,90,10,2.64,0.64,0.2,0,3.6,0.4,1,0.3
204011,이그드라실의 부산물(대지),XS,3,50,26,0,4,90,15,2,1.04,0,0,3.6,0.6,1.5,0.3
204021,이그드라실의 부산물(대지),M,3,180,22,0,4,90,8,7.2,0.88,0,0,3.6,0.32,2.5,0.5
204002,이그드라실의 부산물(불),S,1,70,19,4,4,90,15,2.8,0.76,0.16,0,3.6,0.6,1,0.6
204012,이그드라실의 부산물(불),XS,1,50,26,0,4,90,15,2,1.04,0,0,3.6,0.6,1.5,0.6
204022,이그드라실의 부산물(불),M,1,110,22,0,4,90,8,4.4,0.88,0,0,3.6,0.32,2.5,0.5
204003,이그드라실의 부산물(바람),S,4,70,19,4,4,90,15,2.8,0.76,0.16,0,3.6,0.6,1,0.6
204013,이그드라실의 부산물(바람),XS,4,70,26,0,4,90,15,2.8,1.04,0,0,3.6,0.6,1.5,0.6
204023,이그드라실의 부산물(바람),M,4,110,22,0,4,90,8,4.4,0.88,0,0,3.6,0.32,2.5,0.5
204004,이그드라실의 부산물(물),S,2,70,17,5,4,90,10,2.8,0.68,0.2,0,3.6,0.4,1,0.3
204014,이그드라실의 부산물(물),XS,2,50,26,0,4,90,15,2,1.04,0,0,3.6,0.6,1.5,0.3
204024,이그드라실의 부산물(물),M,2,180,22,0,4,90,8,7.2,0.88,0,0,3.6,0.32,2.5,0.5
205000,바람의 기사 훈련병,S,4,220,23,4,4,90,11,8.8,0.92,0.16,0,3.6,0.44,1,1
205001,아기 기사의 정령,XS,4,100,18,5,4,90,15,4,0.72,0.2,0,3.6,0.6,1,1
205002,바람의 견습 마법사,S,4,120,23,6,4,90,8,4.8,0.92,0.24,0,3.6,0.32,2.4,1
205003,바람의 기사,M,4,750,33,8,4,90,5,30,1.32,0.32,0,3.6,0.2,1.6,0.5
205004,가젤,M,4,1200,39,8,4,90,8,48,1.56,0.32,0,3.6,0.32,1.65,1
205005,켄타우로스,L,4,1500,31,7,4,90,6,60,1.24,0.28,0,3.6,0.24,1.7,1
205006,바람의 마법사,L,4,1000,41,10,4,90,9,40,1.64,0.4,0,3.6,0.36,1.7,1
205007,펜리르,XL,4,3000,49,4,4,90,7,120,1.96,0.16,0,3.6,0.28,4,0.5
206000,숏 도마뱀,S,1,250,23,6,4,90,8,10,0.92,0.24,0,3.6,0.32,1.7,0.5
206001,하이 도마뱀,M,1,160,26,3,4,90,15,6.4,1.04,0.12,0,3.6,0.6,1.65,0.8
206002,바위 도마뱀,S,1,400,28,6,4,90,5,16,1.12,0.24,0,3.6,0.2,0.85,0.5
206003,도마뱀 전사,M,1,1300,33,6,4,90,10,52,1.32,0.24,0,3.6,0.4,1.65,0.6
206004,카멜레온,L,1,1000,45,2,4,90,8,40,1.8,0.08,0,3.6,0.32,2.4,0.8
206005,양손 도끼 도마뱀,L,1,1500,41,6,4,90,12,60,1.64,0.24,0,3.6,0.48,1.65,0.4
206006,거대 도마뱀 전사,L,1,2000,45,10,4,90,5,80,1.8,0.4,0,3.6,0.2,2.4,0.3
206007,수르트,XL,1,5000,64,6,6,90,6,200,2.56,0.24,0,3.6,0.24,4,0.3
207000,트롤 짐꾼,S,3,380,23,9,4,90,4,15.2,0.92,0.36,0,3.6,0.16,0.85,1
207001,트롤 광부,S,3,280,32,6,4,90,8,11.2,1.28,0.24,0,3.6,0.32,1.7,1
207002,트롤 척후병,M,3,210,23,3,4,90,15,8.4,0.92,0.12,0,3.6,0.6,2.4,1
207003,트롤 의사,M,3,1350,38,2,4,90,8,54,1.52,0.08,0,3.6,0.32,2.4,0.8
207004,트롤 전사,L,3,2250,45,6,4,90,12,90,1.8,0.24,0,3.6,0.48,1.65,0.4
207005,트롤 기술자,L,3,1750,50,6,4,90,10,70,2,0.24,0,3.6,0.4,2.4,0.6
207006,트롤 귀족,L,3,3450,54,10,4,90,5,138,2.16,0.4,0,3.6,0.2,1.65,0.3
207007,라우페이,XL,3,10000,96,10,6,90,8,400,3.84,0.4,0,3.6,0.32,4,0.3
