id,_name,item_sub_type,grade,elemental_type,stat_type,stat_min,stat_max,skill_id,skill_damage_min,skill_damage_max,skill_chance_min,skill_chance_max
100000,보물상자,NormalMaterial,1,Normal,,,,,,,,
301000,생명,NormalMaterial,1,Normal,,,,,,,,
302000,쌀,FoodMaterial,1,Normal,,,,,,,,
302001,생선,FoodMaterial,1,Normal,,,,,,,,
302002,깡통,FoodMaterial,1,Normal,,,,,,,,
302003,달걀,FoodMaterial,1,Normal,,,,,,,,
302004,암염,FoodMaterial,3,Normal,,,,,,,,
302005,올리브유,FoodMaterial,1,Normal,,,,,,,,
302006,허브,FoodMaterial,5,Normal,,,,,,,,
302007,비린내 나는 고기,FoodMaterial,1,Normal,,,,,,,,
302008,맛있어 보이는 고기,FoodMaterial,1,Normal,,,,,,,,
302009,일품급 고기,FoodMaterial,1,Normal,,,,,,,,
303000,녹슨 칼,EquipmentMaterial,1,Normal,,,,,,,,
303001,버려진 검,EquipmentMaterial,2,Normal,,,,,,,,
303002,단단한 검,EquipmentMaterial,3,Normal,,,,,,,,
303003,영험한 기운의 검,EquipmentMaterial,4,Normal,,,,,,,,
303004,전설의 검,EquipmentMaterial,5,Normal,,,,,,,,
303100,낡은 옷,EquipmentMaterial,1,Normal,,,,,,,,
303101,버려진 옷,EquipmentMaterial,2,Normal,,,,,,,,
303102,단단한 옷,EquipmentMaterial,3,Normal,,,,,,,,
303103,영험한 기운의 갑옷,EquipmentMaterial,4,Normal,,,,,,,,
303104,전설의 옷,EquipmentMaterial,5,Normal,,,,,,,,
303200,낡은 끈,EquipmentMaterial,1,Normal,,,,,,,,
303201,버려진 허리띠,EquipmentMaterial,2,Normal,,,,,,,,
303202,단단한 벨트,EquipmentMaterial,3,Normal,,,,,,,,
303203,영험한 기운의 벨트,EquipmentMaterial,4,Normal,,,,,,,,
303204,전설의 벨트,EquipmentMaterial,5,Normal,,,,,,,,
303300,낡은 목걸이,EquipmentMaterial,1,Normal,,,,,,,,
303301,버려진 목걸이,EquipmentMaterial,2,Normal,,,,,,,,
303302,단단한 목걸이,EquipmentMaterial,3,Normal,,,,,,,,
303303,영험한 기운의 목걸이,EquipmentMaterial,4,Normal,,,,,,,,
303304,전설의 목걸이,EquipmentMaterial,5,Normal,,,,,,,,
303400,낡은 반지,EquipmentMaterial,1,Normal,,,,,,,,
303401,버려진 반지,EquipmentMaterial,2,Normal,,,,,,,,
303402,단단한 반지,EquipmentMaterial,3,Normal,,,,,,,,
303403,영험한 기운의 반지,EquipmentMaterial,4,Normal,,,,,,,,
303404,전설의 반지,EquipmentMaterial,5,Normal,,,,,,,,
304000,불의 정수,NormalMaterial,1,Fire,,,,,,,,
304001,대지의 정수,NormalMaterial,1,Land,,,,,,,,
304002,물의 정수,NormalMaterial,1,Water,,,,,,,,
304003,바람의 정수,NormalMaterial,1,Wind,,,,,,,,
305000,얼음의 염료,NormalMaterial,1,Water,,,,,,,,
305001,불의 염료,NormalMaterial,1,Fire,,,,,,,,
305002,숲의 염료,NormalMaterial,1,Normal,,,,,,,,
305003,요정의 염료,NormalMaterial,1,Normal,,,,,,,,
305004,여신의 염료,NormalMaterial,1,Normal,,,,,,,,
306000,물의 씨앗 껍질,MonsterPart,1,Water,ATK,5,23,,,,,
306001,물의 수상한 떡잎,MonsterPart,1,Water,HP,22,88,,,,,
306002,물의 잎사귀 다발,MonsterPart,1,Water,SPD,3,13,,,,,
306003,물의 빛나는 꽃봉오리,MonsterPart,1,Water,HIT,6,26,,,,,
306004,물의 뻣뻣한 줄기,MonsterPart,2,Water,ATK,11,44,,,,,
306005,물의 물컹한 열매,MonsterPart,2,Water,HP,41,165,,,,,
306006,물의 시든 꽃다발,MonsterPart,2,Water,SPD,6,24,,,,,
306007,물의 열매알,MonsterPart,2,Water,HIT,12,49,,,,,
