id,elemental_type_1,elemental_type_2,elemental_type_3,elemental_type_4,elemental_type_5
10000001,Fire,,,,
10000002,Fire,,,,
10000003,Fire,,,,
10000004,Fire,,,,
10000005,Fire,,,,
10000006,Fire,,,,
10000007,Fire,,,,
10000008,Fire,,,,
10000009,Fire,,,,
10000010,Fire,,,,
10000011,Fire,,,,
10000012,Fire,,,,
10000013,Fire,,,,
10000014,Fire,,,,
10000015,Fire,,,,
10000016,Fire,,,,
10000017,Fire,,,,
10000018,Fire,,,,
10000019,Fire,,,,
10000020,Fire,,,,
10000021,Water,,,,
10000022,Water,,,,
10000023,Water,,,,
10000024,Water,,,,
10000025,Water,,,,
10000026,Water,,,,
10000027,Water,,,,
10000028,Water,,,,
10000029,Water,,,,
10000030,Water,,,,
10000031,Water,,,,
10000032,Water,,,,
10000033,Water,,,,
10000034,Water,,,,
10000035,Water,,,,
10000036,Water,,,,
10000037,Water,,,,
10000038,Water,,,,
10000039,Water,,,,
10000040,Water,,,,
10000041,Land,,,,
10000042,Land,,,,
10000043,Land,,,,
10000044,Land,,,,
10000045,Land,,,,
10000046,Land,,,,
10000047,Land,,,,
10000048,Land,,,,
10000049,Land,,,,
10000050,Land,,,,
10000051,Land,,,,
10000052,Land,,,,
10000053,Land,,,,
10000054,Land,,,,
10000055,Land,,,,
10000056,Land,,,,
10000057,Land,,,,
10000058,Land,,,,
10000059,Land,,,,
10000060,Land,,,,
