id,item_sub_type,grade,level,cost,success_ratio,great_success_ratio,fail_ratio,success_required_block_index,great_success_required_block_index,fail_required_block_index,base_stat_growth_min,base_stat_growth_max,extra_stat_growth_min,extra_stat_growth_max,extra_skill_damage_growth_min,extra_skill_damage_growth_max,extra_skill_chance_growth_min,extra_skill_chance_growth_max
1,Weapon,1,1,0,7500,2500,0,25,31,50,800,1200,0,0,0,0,0,0
2,Weapon,1,2,0,7500,2500,0,62,77,50,800,1200,0,0,0,0,0,0
3,Weapon,1,3,0,7500,2500,0,125,156,50,800,1200,0,0,0,0,0,0
4,Weapon,1,4,10,7500,2500,0,625,781,50,800,1200,2500,3500,2500,3500,1200,1800
5,Weapon,1,5,0,7625,2375,0,925,1156,50,800,1200,0,0,0,0,0,0
6,Weapon,1,6,0,7750,2250,0,1300,1625,50,800,1200,0,0,0,0,0,0
7,Weapon,1,7,20,7625,2375,0,2500,3125,50,800,1200,2500,3500,2500,3500,1200,1800
8,Weapon,1,8,0,7750,2250,0,2975,3718,50,800,1200,600,1000,600,1000,400,600
9,Weapon,1,9,0,7850,2150,0,3500,4375,50,800,1200,600,1000,600,1000,400,600
10,Weapon,1,10,40,7625,2375,0,4750,5937,50,800,1200,1100,1700,1100,1700,700,1100
11,Weapon,1,11,0,7950,2050,0,5000,6250,50,800,1200,600,1000,600,1000,400,600
12,Weapon,1,12,0,8025,1975,0,5250,6562,50,800,1200,600,1000,600,1000,400,600
13,Weapon,1,13,80,7825,2175,0,5500,6875,50,800,1200,1100,1700,1100,1700,700,1100
14,Weapon,1,14,0,8100,1900,0,5750,7187,50,800,1200,600,1000,600,1000,400,600
15,Weapon,1,15,0,8175,1825,0,6000,7500,50,800,1200,600,1000,600,1000,400,600
16,Weapon,1,16,160,8000,2000,0,6250,7812,50,800,1200,1100,1700,1100,1700,700,1100
17,Weapon,1,17,0,8225,1775,0,6500,8125,50,800,1200,600,1000,600,1000,400,600
18,Weapon,1,18,0,8275,1725,0,6750,8437,50,800,1200,600,1000,600,1000,400,600
19,Weapon,1,19,320,8125,1875,0,7000,8750,50,800,1200,1100,1700,1100,1700,700,1100
20,Weapon,1,20,0,8750,1250,0,7250,9062,50,800,1200,800,1200,800,1200,400,600
21,Weapon,1,21,0,8750,1250,0,7500,9375,50,800,1200,800,1200,800,1200,400,600
22,Weapon,2,1,0,7500,2500,0,37,46,50,800,1200,0,0,0,0,0,0
23,Weapon,2,2,0,7500,2500,0,93,116,50,800,1200,0,0,0,0,0,0
