id,_name,item_sub_type,grade,elemental_type,spine_resource_path
_item_sub_type,FullCostume|HairCostume|EarCostume|EyeCostume|TailCostume|Title,,,,
_elemental_type,Normal|Fire|Water|Land|Wind,,,,
_spine_resource_path,값이 비어 있으면 `item_sub_type`에 따라서 자동 설정됩니다.,,,,
_spine_resource_path,`default`: `Character/PlayerSpineTexture/{item_sub_type}/{id}`,,,,
_spine_resource_path,`FullCostume`: `Character/{item_sub_type}/{id}`,,,,
_spine_resource_path,`Title`: ``,,,,
40100000,발키리,FullCostume,4,Normal,
40100001,새벽의 사자,FullCostume,3,Normal,
40100002,헬라의 환영,FullCostume,5,Normal,
40100003,어둠의 발키리,FullCostume,5,Normal,
40100004,천상의 고양이,FullCostume,2,Normal,
40200001,갈색 머리카락,HairCostume,1,Normal,
40200002,파란색 머리카락,HairCostume,1,Normal,
40200003,초록색 머리카락,HairCostume,1,Normal,
40200004,빨간색 머리카락,HairCostume,1,Normal,
40200005,흰색 머리카락,HairCostume,1,Normal,
40200006,노란색 머리카락,HairCostume,1,Normal,
40200007,검은색 머리카락,HairCostume,1,Normal,
40300001,갈색 귀,EarCostume,1,Normal,
40300002,검은색 귀,EarCostume,1,Normal,
40300003,갈색 표범 무늬 귀,EarCostume,1,Normal,
40300004,회색 표범 무늬 귀,EarCostume,1,Normal,
40300005,흰색 귀,EarCostume,1,Normal,
40300006,검붉은색 귀,EarCostume,1,Normal,
40300007,흰털 갈색 귀,EarCostume,1,Normal,
40300008,흰털 파란색 귀,EarCostume,1,Normal,
40300009,흰털 회색 귀,EarCostume,1,Normal,
40300010,흰털 파란 유령 귀,EarCostume,1,Normal,
40400001,빨간색 눈,EyeCostume,1,Normal,
40400002,파란색 눈,EyeCostume,1,Normal,
40400003,초록색 눈,EyeCostume,1,Normal,
40400004,보라색 눈,EyeCostume,1,Normal,
40400005,흰색 눈,EyeCostume,1,Normal,
40400006,노란색 눈,EyeCostume,1,Normal,
40500001,꼬리,TailCostume,1,Normal,
40500002,검흰색 꼬리,TailCostume,1,Normal,
40500003,갈색 표범 무늬 꼬리,TailCostume,1,Normal,
40500004,회색 표범 무늬 꼬리,TailCostume,1,Normal,
40500005,흰색 꼬리,TailCostume,1,Normal,
40500006,검은색 꼬리,TailCostume,1,Normal,
40500007,빨간색 꼬리,TailCostume,1,Normal,
40500008,파란색 꼬리,TailCostume,1,Normal,
40500009,회색 꼬리,TailCostume,1,Normal,
40500010,파란 유령 꼬리,TailCostume,1,Normal,
49900001,전설의 모험가,Title,4,Normal,
49900002,최초의 전사,Title,5,Normal,
49900003,Lucky Adventurer,Title,3,Normal,
49900004,Awesome Creator,Title,3,Normal, 
49900005,Sushi Frontier,Title,5,Normal, 
