id,required_block_index,required_ap,required_gold,material_item_id_1,material_item_count_1,material_item_id_2,material_item_count_2,material_item_id_3,material_item_count_3,material_item_id_4,material_item_count_4,result_consumable_item_id
100000,20,0,0,302001,2,302002,1,,,,,201000
100001,20,0,0,302001,6,302002,2,302004,3,302006,1,201001
100002,20,0,0,302003,2,302005,1,,,,,201002
100003,20,0,0,302003,3,302005,2,302004,2,,,201003
100004,20,0,0,302003,4,302005,3,302004,4,302006,2,201004
100005,20,0,0,302003,2,302000,1,,,,,201005
100006,20,0,0,302003,3,302000,2,302004,2,,,201006
100007,20,0,0,302003,4,302000,3,302004,4,302006,2,201007
100008,20,0,0,302008,3,302005,2,,,,,201011
100009,20,0,0,302008,4,302005,3,302010,3,,,201012
100010,20,0,0,302008,5,302005,4,302010,5,302011,3,201013
100011,20,0,0,302008,3,302000,2,,,,,201008
100012,20,0,0,302008,4,302000,3,302010,3,,,201009
100013,20,0,0,302008,5,302000,4,302010,5,302011,3,201010
100014,20,0,0,302012,2,302014,1,,,,,201014
100015,20,0,0,302012,3,302014,2,302017,2,,,201015
100016,20,0,0,302012,4,302014,3,302017,4,302018,2,201016
100017,20,0,0,302012,2,302015,1,,,,,201017
100018,20,0,0,302012,3,302015,2,302017,2,,,201018
100019,20,0,0,302012,4,302015,3,302017,4,302018,2,201019
100020,20,0,0,302016,2,302002,1,,,,,201020
100021,20,0,0,302016,6,302002,1,302017,3,302018,1,201021
100022,20,0,0,302013,2,302019,1,,,,,201022
100023,20,0,0,302013,3,302019,2,302021,2,,,201023
100024,20,0,0,302013,4,302019,3,302021,4,302022,2,201024
100025,20,0,0,302013,2,302020,1,,,,,201025
100026,20,0,0,302013,3,302020,2,302021,2,,,201026
100027,20,0,0,302013,4,302020,3,302021,4,302022,2,201027
