ID,item_sub_type,level,Normal,Rare,Epic,Unique,Legend
1000,Weapon,0,10,80,16020,426000,6760000
1001,Weapon,1,20,160,32040,852000,13520000
1002,Weapon,2,40,320,64080,1704000,27040000
1003,Weapon,3,80,640,128160,3408000,54080000
1004,Weapon,4,160,1280,256320,6816000,108160000
1005,Weapon,5,320,2560,512640,13632000,216320000
1006,Weapon,6,640,5120,1025280,27264000,432640000
1007,Weapon,7,1280,10240,2050560,54528000,865280000
1008,Weapon,8,2560,20480,4101120,109056000,1730560000
1009,Weapon,9,5120,40960,8202240,218112000,3461120000
1010,Weapon,10,10240,81920,16404480,436224000,6922240000
1011,Weapon,11,20480,163840,32808960,872448000,13844480000
1012,Weapon,12,40960,327680,65617920,1744896000,27688960000
1013,Weapon,13,81920,655360,131235840,3489792000,55377920000
1014,Weapon,14,163840,1310720,262471680,6979584000,110755840000
1015,Weapon,15,327680,2621440,524943360,13959168000,221511680000
1016,Weapon,16,655360,5242880,1049886720,27918336000,443023360000
1017,Weapon,17,1310720,10485760,2099773440,55836672000,886046720000
1018,Weapon,18,2621440,20971520,4199546880,111673344000,1772093440000
1019,Weapon,19,5242880,41943040,8399093760,223346688000,3544186880000
1020,Weapon,20,10485760,83886080,16798187520,446693376000,7088373760000
1021,Weapon,21,20971520,167772160,33596375040,893386752000,14176747520000
2000,Armor,0,19,103,9600,426000,6760000
2001,Armor,1,38,206,19200,852000,13520000
2002,Armor,2,76,412,38400,1704000,27040000
2003,Armor,3,152,824,76800,3408000,54080000
2004,Armor,4,304,1648,153600,6816000,108160000
2005,Armor,5,608,3296,307200,13632000,216320000
2006,Armor,6,1216,6592,614400,27264000,432640000
2007,Armor,7,2432,13184,1228800,54528000,865280000
2008,Armor,8,4864,26368,2457600,109056000,1730560000
2009,Armor,9,9728,52736,4915200,218112000,3461120000
2010,Armor,10,19456,105472,9830400,436224000,6922240000
2011,Armor,11,38912,210944,19660800,872448000,13844480000
2012,Armor,12,77824,421888,39321600,1744896000,27688960000
2013,Armor,13,155648,843776,78643200,3489792000,55377920000
2014,Armor,14,311296,1687552,157286400,6979584000,110755840000
2015,Armor,15,622592,3375104,314572800,13959168000,221511680000
2016,Armor,16,1245184,6750208,629145600,27918336000,443023360000
2017,Armor,17,2490368,13500416,1258291200,55836672000,886046720000
2018,Armor,18,4980736,27000832,2516582400,111673344000,1772093440000
2019,Armor,19,9961472,54001664,5033164800,223346688000,3544186880000
2020,Armor,20,19922944,108003328,10066329600,446693376000,7088373760000
2021,Armor,21,39845888,216006656,20132659200,893386752000,14176747520000
3000,Belt,0,954,1496,3864,96600,6760000
3001,Belt,1,1908,2992,7728,193200,13520000
3002,Belt,2,3816,5984,15456,386400,27040000
3003,Belt,3,7632,11968,30912,772800,54080000
3004,Belt,4,15264,23936,61824,1545600,108160000
3005,Belt,5,30528,47872,123648,3091200,216320000
3006,Belt,6,61056,95744,247296,6182400,432640000
3007,Belt,7,122112,191488,494592,12364800,865280000
3008,Belt,8,244224,382976,989184,24729600,1730560000
3009,Belt,9,488448,765952,1978368,49459200,3461120000
3010,Belt,10,976896,1531904,3956736,98918400,6922240000
3011,Belt,11,1953792,3063808,7913472,197836800,13844480000
3012,Belt,12,3907584,6127616,15826944,395673600,27688960000
3013,Belt,13,7815168,12255232,31653888,791347200,55377920000
3014,Belt,14,15630336,24510464,63307776,1582694400,110755840000
3015,Belt,15,31260672,49020928,126615552,3165388800,221511680000
3016,Belt,16,62521344,98041856,253231104,6330777600,443023360000
3017,Belt,17,125042688,196083712,506462208,12661555200,886046720000
3018,Belt,18,250085376,392167424,1012924416,25323110400,1772093440000
3019,Belt,19,500170752,784334848,2025848832,50646220800,3544186880000
3020,Belt,20,1000341504,1568669696,4051697664,101292441600,7088373760000
3021,Belt,21,2000683008,3137339392,8103395328,202584883200,14176747520000
4000,Necklace,0,315,1736,65040,243000,6760000
4001,Necklace,1,630,3472,130080,486000,13520000
4002,Necklace,2,1260,6944,260160,972000,27040000
4003,Necklace,3,2520,13888,520320,1944000,54080000
4004,Necklace,4,5040,27776,1040640,3888000,108160000
4005,Necklace,5,10080,55552,2081280,7776000,216320000
4006,Necklace,6,20160,111104,4162560,15552000,432640000
4007,Necklace,7,40320,222208,8325120,31104000,865280000
4008,Necklace,8,80640,444416,16650240,62208000,1730560000
4009,Necklace,9,161280,888832,33300480,124416000,3461120000
4010,Necklace,10,322560,1777664,66600960,248832000,6922240000
4011,Necklace,11,645120,3555328,133201920,497664000,13844480000
4012,Necklace,12,1290240,7110656,266403840,995328000,27688960000
4013,Necklace,13,2580480,14221312,532807680,1990656000,55377920000
4014,Necklace,14,5160960,28442624,1065615360,3981312000,110755840000
4015,Necklace,15,10321920,56885248,2131230720,7962624000,221511680000
4016,Necklace,16,20643840,113770496,4262461440,15925248000,443023360000
4017,Necklace,17,41287680,227540992,8524922880,31850496000,886046720000
4018,Necklace,18,82575360,455081984,17049845760,63700992000,1772093440000
4019,Necklace,19,165150720,910163968,34099691520,127401984000,3544186880000
4020,Necklace,20,330301440,1820327936,68199383040,254803968000,7088373760000
4021,Necklace,21,660602880,3640655872,136398766080,509607936000,14176747520000
5000,Ring,0,10,216,5568,426000,6760000
5001,Ring,1,20,432,11136,852000,13520000
5002,Ring,2,40,864,22272,1704000,27040000
5003,Ring,3,80,1728,44544,3408000,54080000
5004,Ring,4,160,3456,89088,6816000,108160000
5005,Ring,5,320,6912,178176,13632000,216320000
5006,Ring,6,640,13824,356352,27264000,432640000
5007,Ring,7,1280,27648,712704,54528000,865280000
5008,Ring,8,2560,55296,1425408,109056000,1730560000
5009,Ring,9,5120,110592,2850816,218112000,3461120000
5010,Ring,10,10240,221184,5701632,436224000,6922240000
5011,Ring,11,20480,442368,11403264,872448000,13844480000
5012,Ring,12,40960,884736,22806528,1744896000,27688960000
5013,Ring,13,81920,1769472,45613056,3489792000,55377920000
5014,Ring,14,163840,3538944,91226112,6979584000,110755840000
5015,Ring,15,327680,7077888,182452224,13959168000,221511680000
5016,Ring,16,655360,14155776,364904448,27918336000,443023360000
5017,Ring,17,1310720,28311552,729808896,55836672000,886046720000
5018,Ring,18,2621440,56623104,1459617792,111673344000,1772093440000
5019,Ring,19,5242880,113246208,2919235584,223346688000,3544186880000
5020,Ring,20,10485760,226492416,5838471168,446693376000,7088373760000
5021,Ring,21,20971520,452984832,11676942336,893386752000,14176747520000
