id,goal,quest_reward_id,recipe_id
1100001,1,101,1
1100002,1,101,2
1100003,1,101,3
1100004,1,101,4
1100005,1,101,5
1100006,1,102,6
1100007,1,102,7
1100008,1,102,8
1100009,1,102,9
1100010,1,102,10
1100011,1,103,11
1100012,1,103,12
1100013,1,103,13
1100014,1,103,14
1100015,1,103,15
1100016,1,103,16
1100017,1,103,17
1100018,1,103,18
1100019,1,103,19
1100020,1,103,20
1100021,1,104,21
1100022,1,104,22
1100023,1,104,23
1100024,1,104,24
1100025,1,104,25
1100026,1,104,26
1100027,1,104,27
1100028,1,104,28
1100029,1,104,29
1100030,1,104,30
1100031,1,105,31
1100032,1,105,32
1100033,1,105,33
1100034,1,105,34
1100035,1,105,35
1100036,1,105,36
1100037,1,105,37
1100038,1,105,38
1100039,1,105,39
1100040,1,105,40
1100041,1,105,41
1100042,1,201,42
1100043,1,201,43
1100044,1,201,44
1100045,1,201,45
1100046,1,201,46
1100047,1,202,47
1100048,1,202,48
1100049,1,202,49
1100050,1,202,50
1100051,1,202,51
1100052,1,203,52
1100053,1,203,53
1100054,1,203,54
1100055,1,203,55
1100056,1,203,56
1100057,1,203,57
1100058,1,203,58
1100059,1,203,59
1100060,1,203,60
1100061,1,203,61
1100062,1,204,62
1100063,1,204,63
1100064,1,204,64
1100065,1,204,65
1100066,1,204,66
1100067,1,204,67
1100068,1,204,68
1100069,1,204,69
1100070,1,204,70
1100071,1,204,71
1100072,1,205,72
1100073,1,205,73
1100074,1,205,74
1100075,1,205,75
1100076,1,205,76
1100077,1,205,77
1100078,1,205,78
1100079,1,205,79
1100080,1,205,80
1100081,1,205,81
1100082,1,205,82
1100083,1,301,83
1100084,1,301,84
1100085,1,301,85
1100086,1,301,86
1100087,1,301,87
1100088,1,302,88
1100089,1,302,89
1100090,1,302,90
1100091,1,302,91
1100092,1,302,92
1100093,1,303,93
1100094,1,303,94
1100095,1,303,95
1100096,1,303,96
1100097,1,303,97
1100098,1,304,98
1100099,1,304,99
1100100,1,304,100
1100101,1,304,101
1100102,1,304,102
1100103,1,305,103
1100104,1,305,104
1100105,1,305,105
1100106,1,305,106
1100107,1,305,107
1100108,1,401,108
1100109,1,401,109
1100110,1,401,110
1100111,1,401,111
1100112,1,401,112
1100113,1,402,113
1100114,1,402,114
1100115,1,402,115
1100116,1,402,116
1100117,1,402,117
1100118,1,403,118
1100119,1,403,119
1100120,1,403,120
1100121,1,403,121
1100122,1,403,122
1100123,1,404,123
1100124,1,404,124
1100125,1,404,125
1100126,1,404,126
1100127,1,404,127
1100128,1,405,128
1100129,1,405,129
1100130,1,405,130
1100131,1,405,131
1100132,1,405,132
1100133,1,501,133
1100134,1,501,134
1100135,1,501,135
1100136,1,501,136
1100137,1,501,137
1100138,1,502,138
1100139,1,502,139
1100140,1,502,140
1100141,1,502,141
1100142,1,502,142
1100143,1,503,143
1100144,1,503,144
1100145,1,503,145
1100146,1,503,146
1100147,1,503,147
1100148,1,504,148
1100149,1,504,149
1100150,1,504,150
1100151,1,504,151
1100152,1,504,152
1100153,1,505,153
1100154,1,505,154
1100155,1,505,155
1100156,1,505,156
1100157,1,505,157
