id,goal,quest_reward_id
100001,1,23
100002,2,38
100003,3,38
100004,4,28
100005,5,40
100006,6,201
100007,7,38
100008,8,39
100009,9,301
100010,10,29
100011,11,30
100012,12,38
100013,13,38
100014,14,38
100015,15,401
100016,16,38
100017,17,38
100018,18,38
100019,19,39
100020,20,501
100021,21,31
100022,22,32
100023,23,38
100024,24,102
100025,25,33
100026,26,38
100027,27,38
100028,28,38
100029,29,38
100030,30,39
100031,31,38
100032,32,38
100033,33,39
100034,34,38
100035,35,38
100036,36,39
100037,37,38
100038,38,38
100039,39,38
100040,40,39
100041,41,38
100042,42,38
100043,43,39
100044,44,38
100045,45,38
100046,46,39
100047,47,38
100048,48,38
100049,49,39
100050,50,34
100051,51,38
100052,52,38
100053,53,39
100054,54,38
100055,55,38
100056,56,39
100057,57,38
100058,58,38
100059,59,38
100060,60,39
100061,61,38
100062,62,38
100063,63,39
100064,64,38
100065,65,38
100066,66,39
100067,67,38
100068,68,38
100069,69,38
100070,70,39
100071,71,38
100072,72,38
100073,73,39
100074,74,38
100075,75,38
100076,76,39
100077,77,38
100078,78,38
100079,79,38
100080,80,39
100081,81,38
100082,82,38
100083,83,39
100084,84,38
100085,85,38
100086,86,39
100087,87,38
100088,88,38
100089,89,38
100090,90,39
100091,91,38
100092,92,38
100093,93,39
100094,94,38
100095,95,38
100096,96,39
100097,97,38
100098,98,38
100099,99,39
100100,100,35
100101,101,24
100102,102,24
100103,103,24
100104,104,24
100105,105,24
100106,106,24
100107,107,24
100108,108,24
100109,109,24
100110,110,25
100111,111,24
100112,112,24
100113,113,24
100114,114,24
100115,115,24
100116,116,24
100117,117,24
100118,118,24
100119,119,24
100120,120,25
100121,121,24
100122,122,24
100123,123,24
100124,124,24
100125,125,24
100126,126,24
100127,127,24
100128,128,24
100129,129,24
100130,130,25
100131,131,24
100132,132,24
100133,133,24
100134,134,24
100135,135,24
100136,136,24
100137,137,24
100138,138,24
100139,139,24
100140,140,25
100141,141,24
100142,142,24
100143,143,24
100144,144,24
100145,145,24
100146,146,24
100147,147,24
100148,148,24
100149,149,25
100150,150,36
100151,151,41
100152,152,41
100153,153,41
100154,154,41
100155,155,41
100156,156,41
100157,157,41
100158,158,41
100159,159,41
100160,160,41
100161,161,41
100162,162,41
100163,163,41
100164,164,41
100165,165,41
100166,166,41
100167,167,41
100168,168,41
100169,169,41
100170,170,41
100171,171,41
100172,172,41
100173,173,41
100174,174,41
100175,175,41
100176,176,41
100177,177,41
100178,178,41
100179,179,41
100180,180,41
100181,181,41
100182,182,41
100183,183,41
100184,184,41
100185,185,41
100186,186,41
100187,187,41
100188,188,41
100189,189,41
100190,190,41
100191,191,41
100192,192,41
100193,193,41
100194,194,41
100195,195,41
100196,196,41
100197,197,41
100198,198,41
100199,199,41
100200,200,37
100201,201,42
100202,202,42
100203,203,42
100204,204,42
100205,205,42
100206,206,42
100207,207,42
100208,208,42
100209,209,42
100210,210,42
100211,211,42
100212,212,42
100213,213,42
100214,214,42
100215,215,42
100216,216,42
100217,217,42
100218,218,42
100219,219,42
100220,220,42
100221,221,42
100222,222,42
100223,223,42
100224,224,42
100225,225,42
100226,226,42
100227,227,42
100228,228,42
100229,229,42
100230,230,42
100231,231,42
100232,232,42
100233,233,42
100234,234,42
100235,235,42
100236,236,42
100237,237,42
100238,238,42
100239,239,42
100240,240,42
100241,241,42
100242,242,42
100243,243,42
100244,244,42
100245,245,42
100246,246,42
100247,247,42
100248,248,42
100249,249,42
100250,250,42
100251,251,43
100252,252,43
100253,253,43
100254,254,43
100255,255,43
100256,256,43
100257,257,43
100258,258,43
100259,259,43
100260,260,43
100261,261,43
100262,262,43
100263,263,43
100264,264,43
100265,265,43
100266,266,43
100267,267,43
100268,268,43
100269,269,43
100270,270,43
100271,271,43
100272,272,43
100273,273,43
100274,274,43
100275,275,43
100276,276,43
100277,277,43
100278,278,43
100279,279,43
100280,280,43
100281,281,43
100282,282,43
100283,283,43
100284,284,43
100285,285,43
100286,286,43
100287,287,43
100288,288,43
100289,289,43
100290,290,43
100291,291,43
100292,292,43
100293,293,43
100294,294,43
100295,295,43
100296,296,43
100297,297,43
100298,298,43
100299,299,43
100300,300,43
100301,301,43
100302,302,43
100303,303,43
100304,304,43
100305,305,43
100306,306,43
100307,307,43
100308,308,43
100309,309,43
100310,310,43
100311,311,43
100312,312,43
100313,313,43
100314,314,43
100315,315,43
100316,316,43
100317,317,43
100318,318,43
100319,319,43
100320,320,43
100321,321,43
100322,322,43
100323,323,43
100324,324,43
100325,325,43
100326,326,43
100327,327,43
100328,328,43
100329,329,43
100330,330,43
100331,331,43
100332,332,43
100333,333,43
100334,334,43
100335,335,43
100336,336,43
100337,337,43
100338,338,43
100339,339,43
100340,340,43
100341,341,43
100342,342,43
100343,343,43
100344,344,43
100345,345,43
100346,346,43
100347,347,43
100348,348,43
100349,349,43
100350,350,43
