id,character_id,skill_id
1,201000,120000
2,201001,120000
3,201001,120001
4,201002,120000
5,201002,120003
6,201003,120000
7,201003,120003
8,201003,300000
9,201003,300001
10,201004,120000
11,201004,300000
12,201004,210002
13,201004,220002
14,201005,120000
15,201005,120003
16,201005,120005
17,201005,210002
18,201005,220002
19,201005,230002
20,201005,240002
21,201005,250002
22,202000,130000
23,202001,130000
24,202001,130001
25,202002,130000
26,202002,130003
27,202003,130000
28,202003,130001
29,202003,130003
30,202004,210002
31,202004,220002
32,202004,230002
33,202004,240002
34,202004,250002
35,202005,130000
36,202005,300000
37,202005,300001
38,202005,200000
39,202005,210000
40,202005,220000
41,202005,230000
42,202005,240000
43,202005,250000
44,202005,210001
45,202005,220001
46,202005,230001
47,202005,240001
48,202005,250001
49,202006,130000
50,202006,130005
51,202006,210002
52,202006,220002
53,202006,230002
54,202006,240002
55,202006,250002
56,202007,130000
57,202007,130001
58,202007,130005
59,202007,210002
60,202007,220002
61,202007,230002
62,202007,240002
63,202007,250002
64,202007,300000
65,203000,110000
66,203000,220000
67,203001,110000
68,203001,110001
69,203002,110000
70,203002,300000
71,203002,300001
72,203002,110003
73,203002,110005
74,203003,110000
75,203003,110001
76,203003,110005
77,203003,210002
78,203003,220002
79,203003,230002
80,203003,240002
81,203003,250002
82,203004,110000
83,203004,110001
84,203004,200000
85,203004,210000
86,203004,220000
87,203004,230000
88,203004,240000
89,203004,250000
90,203004,210001
91,203004,220001
92,203004,230001
93,203004,240001
94,203004,250001
95,203005,110000
96,203005,110001
97,203005,110003
98,203005,110005
99,203006,110000
100,203006,110001
101,203006,210002
102,203006,220002
103,203006,230002
104,203006,240002
105,203006,250002
106,203007,110000
107,203007,110001
108,203007,110005
109,203007,200000
110,203007,210000
111,203007,220000
112,203007,230000
113,203007,240000
114,203007,250000
115,203007,300000
116,203007,300001
117,204000,100001
118,204001,130000
119,204001,130001
120,204002,110000
121,204002,110001
122,204003,140000
123,204003,140001
124,204004,120000
125,204004,120001
126,204011,130000
127,204012,110000
128,204013,140000
129,204014,120000
130,205000,140000
131,205000,210002
132,205000,220002
133,205000,230002
134,205000,240002
135,205000,250002
136,205003,140000
137,205003,140001
138,205003,140003
139,205003,210002
140,205003,220002
