id,count,stat_type,stat_value
1,2,HP,10
1,3,DEF,10
1,4,ATK,10
1,5,CRI,0.002
2,2,HP,10
2,3,DEF,10
2,4,ATK,10
2,5,CRI,0.002
3,2,HP,10
3,3,DEF,10
3,4,ATK,10
3,5,CRI,0.002
4,2,HP,10
4,3,DEF,10
4,4,ATK,10
4,5,CRI,0.002
5,2,HP,10
5,3,DEF,10
5,4,ATK,10
5,5,CRI,0.002
6,2,HP,20
6,3,DEF,20
6,4,ATK,20
6,5,CRI,0.004
7,2,HP,20
7,3,DEF,20
7,4,ATK,20
7,5,CRI,0.004
8,2,HP,20
8,3,DEF,20
8,4,ATK,20
8,5,CRI,0.004
9,2,HP,20
9,3,DEF,20
9,4,ATK,20
9,5,CRI,0.004
10,2,HP,20
10,3,DEF,20
10,4,ATK,20
10,5,CRI,0.004
11,2,HP,40
11,3,DEF,40
11,4,ATK,40
11,5,CRI,0.006
12,2,HP,40
12,3,DEF,40
12,4,ATK,40
12,5,CRI,0.006
13,2,HP,40
13,3,DEF,40
13,4,ATK,40
13,5,CRI,0.006
14,2,HP,40
14,3,DEF,40
14,4,ATK,40
14,5,CRI,0.006
15,2,HP,40
15,3,DEF,40
15,4,ATK,40
15,5,CRI,0.006
